measurementSiteReference,generatedSiteName,startLocatieForDisplayLat,startLocatieForDisplayLong,alertCDirectionCoded,ROADNUMBER,LocationTableNumber,LocationTableVersion,specificLocation,offsetDistance,LOC_TYPE,LOC_DES,trafficID
RWS01_MONIBAS_0101hrl0307ra,A10 anticlockwise naar Coenplein na afrit 18 ri knppnt Coenplein thv hmp 30.7,52.4194,4.86902,negative,A10,5.11,A,7215,1485,P1.3,Afrit,114
RWS01_MONIBAS_0101hrl0308ra,A10 anticlockwise naar Coenplein na afrit 18 ri knppnt Coenplein thv hmp 30.9,52.4206,4.87041,negative,A10,5.11,A,7215,1325,P1.3,Afrit,115
RWS01_MONIBAS_0101hrl0312ra,A10 anticlockwise naar Coenplein na afrit 18 ri knppnt Coenplein thv hmp 31.3,52.4228,4.87494,negative,A10,5.11,A,7215,935,P1.3,Afrit,116
RWS01_MONIBAS_0101hrl0314ra,A10 anticlockwise naar Coenplein na afrit 18 ri knppnt Coenplein thv hmp 31.4,52.4234,4.87731,negative,A10,5.11,A,7215,759,P1.3,Afrit,117
RWS01_MONIBAS_0101hrl0319ra,A10 anticlockwise naar Coenplein na afrit 18 ri knppnt Coenplein thv hmp 32.0,52.4249,4.88505,negative,A10,5.11,A,7215,208,P1.3,Afrit,118
RWS01_MONIBAS_0021hrr0390ra,A2 southBound naar Utrecht na afrit 3 ri afrit 4 thv hmp 39.0,52.2649,4.962,negative,A2,5.11,A,8003,200,P1.3,Afrit,119
RWS01_MONIBAS_0021hrr0392ra,A2 southBound naar Utrecht na afrit 3 ri afrit 4 thv hmp 39.3,52.2625,4.96349,negative,A2,5.11,A,8003,481,P1.3,Afrit,120
GEO02_R_RWSTI4368,A2 naar Utrecht op knppnt Holendrecht ri afrit 2 thv hmp 37.3,52.2819,4.95108,negative,A2,5.11,A,8006,2495,P1.1,Knooppunt,121
RWS01_MONIBAS_0021hrr0348ra,A2 southBound naar Utrecht op knppnt Holendrecht ri afrit 2 thv hmp 34.8,52.2991,4.93683,negative,A2,5.11,A,8006,0,P1.1,Knooppunt,122
RWS01_MONIBAS_0021hrr0353ra,A2 southBound naar Utrecht op knppnt Holendrecht ri afrit 2 thv hmp 35.3,52.2952,4.94027,negative,A2,5.11,A,8006,500,P1.1,Knooppunt,123
RWS01_MONIBAS_0021hrr0360ra,A2 southBound naar Utrecht op knppnt Holendrecht ri afrit 2 thv hmp 36.0,52.2896,4.94503,negative,A2,5.11,A,8006,1200,P1.1,Knooppunt,124
RWS01_MONIBAS_0021hrr0364ra,A2 southBound naar Utrecht op knppnt Holendrecht ri afrit 2 thv hmp 36.5,52.2859,4.94817,negative,A2,5.11,A,8006,1663,P1.1,Knooppunt,125
