measurementSiteReference,generatedSiteName,startLocatieForDisplayLat,startLocatieForDisplayLong,alertCDirectionCoded,ROADNUMBER,trafficID
RWS01_MONIBAS_0010vwp0122ra,"A1 eastBound naar Amersfoort na afrit 3 ri afrit 4 thv hmp 12.2, vw",52.3269,5.06342,positive,A1,51
RWS01_MONIBAS_0010vwp0124ra,"A1 eastBound naar Amersfoort na afrit 4 ri knppnt Muiderberg thv hmp 12.4, vw",52.3261,5.06621,positive,A1,52
RWS01_MONIBAS_0010vwp0126ra,"A1 eastBound naar Amersfoort na afrit 4 ri knppnt Muiderberg thv hmp 12.6, vw",52.3252,5.06919,positive,A1,53
RWS01_MONIBAS_0010vwp0129ra,"A1 eastBound naar Amersfoort na afrit 4 ri knppnt Muiderberg thv hmp 12.9, vw",52.3243,5.07275,positive,A1,54
RWS01_MONIBAS_0010vwp0132ra,"A1 eastBound naar Amersfoort na afrit 4 ri knppnt Muiderberg thv hmp 13.2, vw",52.323,5.07715,positive,A1,55
RWS01_MONIBAS_0010vwp0135ra,"A1 eastBound naar Amersfoort na afrit 4 ri knppnt Muiderberg thv hmp 13.5, vw",52.3213,5.08009,positive,A1,56
RWS01_MONIBAS_0010vwp0138ra,"A1 eastBound naar Amersfoort na afrit 4 ri knppnt Muiderberg thv hmp 13.8, vw",52.3208,5.085,positive,A1,57
RWS01_MONIBAS_0010vwp0140ra,"A1 eastBound naar Amersfoort na afrit 4 ri knppnt Muiderberg thv hmp 14.0, vw",52.3199,5.08791,positive,A1,58
RWS01_MONIBAS_0010vwp0142ra,"A1 eastBound naar Amersfoort na afrit 4 ri knppnt Muiderberg thv hmp 14.3, vw",52.319,5.09122,positive,A1,59
RWS01_MONIBAS_0011hrr0040ra,A1 eastBound naar Amersfoort op knppnt Watergraafsmeer ri afrit 1 thv hmp 4.1,52.3472,4.95946,positive,A1,60
RWS01_MONIBAS_0011hrr0045ra,A1 eastBound naar Amersfoort op knppnt Watergraafsmeer ri afrit 1 thv hmp 4.6,52.3502,4.9642,positive,A1,61
RWS01_MONIBAS_0011hrr0051ra,A1 eastBound naar Amersfoort op knppnt Watergraafsmeer ri afrit 1 thv hmp 5.2,52.3478,4.97186,positive,A1,62
RWS01_MONIBAS_0011hrr0053ra,A1 eastBound naar Amersfoort op knppnt Watergraafsmeer ri afrit 1 thv hmp 5.4,52.3467,4.97452,positive,A1,63
RWS01_MONIBAS_0011hrr0060ra,A1 eastBound naar Amersfoort na afrit 1 ri afrit 2 thv hmp 6.0,52.3431,4.98128,positive,A1,64
RWS01_MONIBAS_0011hrr0063ra,A1 eastBound naar Amersfoort na afrit 1 ri afrit 2 thv hmp 6.4,52.3406,4.98437,positive,A1,65
RWS01_MONIBAS_0011hrr0068ra,A1 eastBound naar Amersfoort na afrit 2 ri knppnt Diemen thv hmp 6.9,52.3372,4.98975,positive,A1,66
RWS01_MONIBAS_0011hrr0070ra,A1 eastBound naar Amersfoort na afrit 2 ri knppnt Diemen thv hmp 7.1,52.3361,4.99199,positive,A1,67
RWS01_MONIBAS_0011hrr0070rb,A1 eastBound naar Amersfoort na afrit 2 ri knppnt Diemen thv hmp 7.1,52.3361,4.99199,positive,A1,68
RWS01_MONIBAS_0011hrr0073ra,A1 eastBound naar Amersfoort na afrit 2 ri knppnt Diemen thv hmp 7.4,52.3346,4.99584,positive,A1,69
RWS01_MONIBAS_0011hrr0076ra,A1 eastBound naar Amersfoort na afrit 2 ri knppnt Diemen thv hmp 7.7,52.3335,4.99982,positive,A1,70
RWS01_MONIBAS_0011hrr0079ra,A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 8.0,52.3328,5.0036,positive,A1,71
RWS01_MONIBAS_0011hrr0082ra,A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 8.2,52.3324,5.00719,positive,A1,72
RWS01_MONIBAS_0011hrr0085ra,A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 8.5,52.3323,5.01135,positive,A1,73
RWS01_MONIBAS_0011hrr0089ra,A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 8.9,52.3324,5.01736,positive,A1,74
RWS01_MONIBAS_0011hrr0095ra,A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 9.6,52.3322,5.0267,positive,A1,75
RWS01_MONIBAS_0011hrr0101ra,A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 10.1,52.332,5.0349,positive,A1,76
RWS01_MONIBAS_0011hrr0107ra,A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 10.7,52.332,5.04346,positive,A1,77
RWS01_MONIBAS_0011hrr0112ra,A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 11.2,52.3309,5.05069,positive,A1,78
RWS01_MONIBAS_0011hrr0116ra,A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 11.6,52.3293,5.05577,positive,A1,79
RWS01_MONIBAS_0011hrr0119ra,A1 eastBound naar Amersfoort na afrit 3 ri afrit 4 thv hmp 12.0,52.3277,5.06069,positive,A1,80
RWS01_MONIBAS_0011hrr0124ra,A1 eastBound naar Amersfoort na afrit 4 ri knppnt Muiderberg thv hmp 12.4,52.3257,5.06705,positive,A1,81
RWS01_MONIBAS_0011hrr0126ra,A1 eastBound naar Amersfoort na afrit 4 ri knppnt Muiderberg thv hmp 12.6,52.3251,5.06911,positive,A1,82
RWS01_MONIBAS_0011hrr0129ra,A1 eastBound naar Amersfoort na afrit 4 ri knppnt Muiderberg thv hmp 12.9,52.324,5.07308,positive,A1,83
RWS01_MONIBAS_0011hrr0132ra,A1 eastBound naar Amersfoort na afrit 4 ri knppnt Muiderberg thv hmp 13.2,52.3229,5.07707,positive,A1,84
RWS01_MONIBAS_0011hrr0135ra,A1 eastBound naar Amersfoort na afrit 4 ri knppnt Muiderberg thv hmp 13.5,52.3216,5.08163,positive,A1,85
RWS01_MONIBAS_0011hrr0140ra,A1 eastBound naar Amersfoort na afrit 4 ri knppnt Muiderberg thv hmp 14.0,52.3199,5.08778,positive,A1,86
RWS01_MONIBAS_0020vwd0331ra,"A2 northBound naar Amsterdam na afrit 1 ri knppnt Amstel thv hmp 33.1, oprit",52.3122,4.92395,positive,A2,87
RWS01_MONIBAS_0020vwd0391ra,"A2 northBound naar Amsterdam na afrit 3 ri afrit 2 thv hmp 39.1, oprit",52.2648,4.96425,positive,A2,88
RWS01_MONIBAS_0020vwf0309ra,A2 northBound naar Amsterdam vw van A2 vanuit Utrecht naar A10 richting Zaanstad/Amsterdam-Oost thv hmp 30.9,52.3289,4.91899,positive,A2,89
RWS01_MONIBAS_0020vwf0352ra,A2 northBound naar Amsterdam vw van A2 vanuit Utrecht naar A9 richting Diemen thv hmp 35.2,52.2955,4.9408,positive,A2,90
RWS01_MONIBAS_0020vwh0304ra,A2 northBound naar Amsterdam vw van A2 vanuit Utrecht naar A10 richting Den Haag thv hmp 30.4,52.33,4.90615,positive,A2,91
RWS01_MONIBAS_0020vwh0307ra,A2 northBound naar Amsterdam vw van A2 vanuit Utrecht naar A10 richting Den Haag thv hmp 30.8,52.3302,4.91131,positive,A2,92
RWS01_MONIBAS_0020vwh0314ra,A2 northBound naar Amsterdam vw van A2 vanuit Utrecht naar A10 richting Den Haag thv hmp 31.4,52.3259,4.91417,positive,A2,93
RWS01_MONIBAS_0020vwh0316ra,A2 northBound naar Amsterdam vw van A2 vanuit Utrecht naar A10 richting Den Haag thv hmp 31.6,52.3241,4.91433,positive,A2,94
RWS01_MONIBAS_0020vwh0319ra,A2 northBound naar Amsterdam vw van A2 vanuit Utrecht naar A10 richting Den Haag thv hmp 31.9,52.3215,4.91519,positive,A2,95
RWS01_MONIBAS_0020vwh0369ra,A2 northBound naar Amsterdam vw van A2 vanuit Utrecht naar A9 richting Amstelveen thv hmp 36.9,52.2825,4.95212,positive,A2,96
RWS01_MONIBAS_0020vwn0344ra,"A2 northBound naar Amsterdam op knppnt Holendrecht ri afrit 1 thv hmp 34.4, prb",52.3023,4.93445,positive,A2,97
RWS01_MONIBAS_0020vwn0348ra,"A2 northBound naar Amsterdam op knppnt Holendrecht ri afrit 1 thv hmp 34.8, prb",52.2993,4.93727,positive,A2,98
RWS01_MONIBAS_0020vwn0355ra,"A2 northBound naar Amsterdam op knppnt Holendrecht ri afrit 1 thv hmp 35.5, prb",52.2936,4.94224,positive,A2,99
RWS01_MONIBAS_0020vwn0357ra,"A2 northBound naar Amsterdam op knppnt Holendrecht ri afrit 1 thv hmp 35.7, prb",52.2921,4.94348,positive,A2,100
RWS01_MONIBAS_0021hrl0313ra,A2 northBound naar Amsterdam op knppnt Amstel ri afrit Industriegebied Amstel Businesspark thv hmp 31.4,52.3261,4.91372,positive,A2,101
RWS01_MONIBAS_0021hrl0319ra,A2 northBound naar Amsterdam na afrit 1 ri knppnt Amstel thv hmp 31.9,52.3215,4.91507,positive,A2,102
RWS01_MONIBAS_0021hrl0322ra,A2 northBound naar Amsterdam na afrit 1 ri knppnt Amstel thv hmp 32.2,52.3187,4.91699,positive,A2,103
RWS01_MONIBAS_0021hrl0325ra,A2 northBound naar Amsterdam na afrit 1 ri knppnt Amstel thv hmp 32.6,52.3163,4.9194,positive,A2,104
RWS01_MONIBAS_0021hrl0328ra,A2 northBound naar Amsterdam na afrit 1 ri knppnt Amstel thv hmp 32.8,52.3144,4.92142,positive,A2,105
RWS01_MONIBAS_0021hrl0333ra,A2 northBound naar Amsterdam na afrit 1 ri knppnt Amstel thv hmp 33.3,52.3107,4.92547,positive,A2,106
RWS01_MONIBAS_0021hrl0335ra,A2 northBound naar Amsterdam na afrit 1 ri knppnt Amstel thv hmp 33.6,52.3087,4.92756,positive,A2,107
RWS01_MONIBAS_0021hrl0335rb,A2 northBound naar Amsterdam na afrit 1 ri knppnt Amstel thv hmp 33.5,52.3089,4.92728,positive,A2,108
RWS01_MONIBAS_0021hrl0339ra,A2 northBound naar Amsterdam op knppnt Holendrecht ri afrit 1 thv hmp 34.0,52.3058,4.9306,positive,A2,109
RWS01_MONIBAS_0021hrl0344ra,A2 northBound naar Amsterdam op knppnt Holendrecht ri afrit 1 thv hmp 34.4,52.3023,4.9341,positive,A2,110
RWS01_MONIBAS_0021hrl0348ra,A2 northBound naar Amsterdam op knppnt Holendrecht ri afrit 1 thv hmp 34.8,52.2992,4.93698,positive,A2,111
RWS01_MONIBAS_0021hrl0352ra,A2 northBound naar Amsterdam op knppnt Holendrecht ri afrit 1 thv hmp 35.3,52.2956,4.94007,positive,A2,112
RWS01_MONIBAS_0021hrl0360ra,A2 northBound naar Amsterdam op knppnt Holendrecht ri afrit 1 thv hmp 36.0,52.2897,4.94523,positive,A2,113
RWS01_MONIBAS_0021hrl0363ra,A2 northBound naar Amsterdam op knppnt Holendrecht ri afrit 1 thv hmp 36.3,52.2872,4.94739,positive,A2,114
RWS01_MONIBAS_0021hrl0363rb,A2 northBound naar Amsterdam op knppnt Holendrecht ri afrit 1 thv hmp 36.3,52.2872,4.94739,positive,A2,115
RWS01_MONIBAS_0021hrl0365ra,A2 northBound naar Amsterdam op knppnt Holendrecht ri afrit 1 thv hmp 36.5,52.2857,4.94866,positive,A2,116
RWS01_MONIBAS_0021hrl0368ra,A2 northBound naar Amsterdam op knppnt Holendrecht ri afrit 1 thv hmp 36.9,52.2825,4.95129,positive,A2,117
RWS01_MONIBAS_0021hrl0368rb,A2 northBound naar Amsterdam op knppnt Holendrecht ri afrit 1 thv hmp 36.9,52.2826,4.95123,positive,A2,118
RWS01_MONIBAS_0021hrl0373ra,A2 northBound naar Amsterdam na afrit 3 ri afrit 2 thv hmp 37.3,52.2792,4.95392,positive,A2,119
RWS01_MONIBAS_0021hrl0379ra,A2 northBound naar Amsterdam na afrit 3 ri afrit 2 thv hmp 37.9,52.2742,4.95768,positive,A2,120
RWS01_MONIBAS_0021hrl0385ra,A2 northBound naar Amsterdam na afrit 3 ri afrit 2 thv hmp 38.5,52.2692,4.96036,positive,A2,121
RWS01_MONIBAS_0021hrl0391ra,A2 northBound naar Amsterdam na afrit 3 ri afrit 2 thv hmp 39.1,52.2641,4.96326,positive,A2,122
RWS01_MONIBAS_0021hrl0397ra,A2 northBound naar Amsterdam na afrit 4 ri afrit 3 thv hmp 39.7,52.259,4.96597,positive,A2,123
RWS01_MONIBAS_0040vwc0024ra,"A4 northBound naar Amsterdam na afrit 1 ri knppnt De Nieuwe Meer thv hmp 2.4, afrit",52.337,4.81111,positive,A4,124
RWS01_MONIBAS_0040vwc0119ra,"A4 northBound naar Amsterdam na afrit 3 ri knppnt De Hoek thv hmp 11.9, afrit",52.2804,4.71741,positive,A4,125
RWS01_MONIBAS_0040vwc0129ra,"A4 northBound naar Amsterdam na afrit 3a ri afrit 3 thv hmp 13.0, afrit",52.2731,4.70664,positive,A4,126
RWS01_MONIBAS_0040vwd0020ra,"A4 northBound naar Amsterdam na afrit 1 ri knppnt De Nieuwe Meer thv hmp 2.0, oprit",52.3381,4.81698,positive,A4,127
RWS01_MONIBAS_0040vwf0041ra,A4 northBound naar Amsterdam vw van A4 vanuit Den Haag naar A9 richting Utrecht thv hmp 4.1,52.3266,4.79285,positive,A4,128
RWS01_MONIBAS_0040vwh0003ra,A4 northBound naar Amsterdam vw van A4 vanuit Den Haag naar A10 richting Zaanstad thv hmp 0.3,52.3379,4.84096,positive,A4,129
RWS01_MONIBAS_0040vwh0007ra,A4 northBound naar Amsterdam vw van A4 vanuit Den Haag naar A10 richting Zaanstad thv hmp 0.7,52.3376,4.83581,positive,A4,130
RWS01_MONIBAS_0040vwh0007rb,A4 northBound naar Amsterdam vw van A4 vanuit Den Haag naar A10 richting Zaanstad thv hmp 0.8,52.3378,4.83476,positive,A4,131
RWS01_MONIBAS_0040vwh0105ra,A4 northBound naar Amsterdam vw van A4 vanuit Den Haag naar A5 richting Haarlem thv hmp 10.5,52.29,4.73044,positive,A4,132
RWS01_MONIBAS_0040vwn0036ra,"A4 northBound naar Amsterdam op knppnt Badhoevedorp ri afrit 1 thv hmp 3.6, prb",52.3297,4.79826,positive,A4,133
RWS01_MONIBAS_0040vwn0063ra,"A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 6.3, prb",52.3168,4.75342,positive,A4,134
RWS01_MONIBAS_0040vwn0066ra,"A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 6.6, prb",52.3168,4.75342,positive,A4,135
RWS01_MONIBAS_0040vwn0069ra,"A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 6.9, prb",52.3168,4.75342,positive,A4,136
RWS01_MONIBAS_0040vwn0071ra,"A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 7.1, prb",52.3168,4.75342,positive,A4,137
RWS01_MONIBAS_0040vwn0072ra,"A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 7.2, prb",52.3168,4.75342,positive,A4,138
RWS01_MONIBAS_0040vwn0074ra,"A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 7.4, prb",52.3168,4.75342,positive,A4,139
RWS01_MONIBAS_0040vwn0075ra,"A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 7.5, prb",52.3081,4.74783,positive,A4,140
RWS01_MONIBAS_0040vwn0077ra,"A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 7.7, prb",52.3081,4.74783,positive,A4,141
RWS01_MONIBAS_0040vwn0100ra,"A4 northBound naar Amsterdam op knppnt De Hoek ri afrit 2 thv hmp 10.0, prb",52.2936,4.73472,positive,A4,142
RWS01_MONIBAS_0040vwn0102ra,"A4 northBound naar Amsterdam op knppnt De Hoek ri afrit 2 thv hmp 10.2, prb",52.2919,4.73297,positive,A4,143
RWS01_MONIBAS_0040vwn0105ra,"A4 northBound naar Amsterdam op knppnt De Hoek ri afrit 2 thv hmp 10.5, prb",52.2899,4.73093,positive,A4,144
RWS01_MONIBAS_0040vwn0108ra,"A4 northBound naar Amsterdam op knppnt De Hoek ri afrit 2 thv hmp 10.8, prb",52.288,4.72724,positive,A4,145
RWS01_MONIBAS_0040vwn0108rb,"A4 northBound naar Amsterdam op knppnt De Hoek ri afrit 2 thv hmp 10.8, prb",52.288,4.72724,positive,A4,146
RWS01_MONIBAS_0040vwn0110ra,"A4 northBound naar Amsterdam na afrit 3 ri knppnt De Hoek thv hmp 11.1, prb",52.2864,4.72487,positive,A4,147
RWS01_MONIBAS_0040vwn0113ra,"A4 northBound naar Amsterdam na afrit 3 ri knppnt De Hoek thv hmp 11.4, prb",52.2843,4.72182,positive,A4,148
RWS01_MONIBAS_0040vwn0113rb,"A4 northBound naar Amsterdam na afrit 3 ri knppnt De Hoek thv hmp 11.4, prb",52.2843,4.72182,positive,A4,149
RWS01_MONIBAS_0040vwn0118ra,"A4 northBound naar Amsterdam na afrit 3 ri knppnt De Hoek thv hmp 11.9, prb",52.2811,4.71732,positive,A4,150
RWS01_MONIBAS_0040vwn0121ra,"A4 northBound naar Amsterdam na afrit 3a ri afrit 3 thv hmp 12.1, prb",52.2791,4.71452,positive,A4,151
RWS01_MONIBAS_0040vwn0124ra,"A4 northBound naar Amsterdam na afrit 3a ri afrit 3 thv hmp 12.5, prb",52.2768,4.71117,positive,A4,152
RWS01_MONIBAS_0040vwn0129ra,"A4 northBound naar Amsterdam na afrit 3a ri afrit 3 thv hmp 13.0, prb",52.2736,4.70652,positive,A4,153
RWS01_MONIBAS_0040vwn0132ra,"A4 northBound naar Amsterdam na afrit 3a ri afrit 3 thv hmp 13.2, prb",52.2717,4.70384,positive,A4,154
RWS01_MONIBAS_0040vwn0132rb,"A4 northBound naar Amsterdam na afrit 3a ri afrit 3 thv hmp 13.2, prb",52.2718,4.70393,positive,A4,155
RWS01_MONIBAS_0041hrl0004ra,A4 northBound naar Amsterdam op knppnt De Nieuwe Meer thv hmp 0.5,52.3377,4.83897,positive,A4,156
RWS01_MONIBAS_0041hrl0007ra,A4 northBound naar Amsterdam op knppnt De Nieuwe Meer thv hmp 0.8,52.3382,4.83486,positive,A4,157
RWS01_MONIBAS_0041hrl0011ra,A4 northBound naar Amsterdam na afrit 1 ri knppnt De Nieuwe Meer thv hmp 1.2,52.3382,4.82938,positive,A4,158
RWS01_MONIBAS_0041hrl0011rb,A4 northBound naar Amsterdam na afrit 1 ri knppnt De Nieuwe Meer thv hmp 1.2,52.3382,4.82938,positive,A4,159
RWS01_MONIBAS_0041hrl0015ra,A4 northBound naar Amsterdam na afrit 1 ri knppnt De Nieuwe Meer thv hmp 1.6,52.3383,4.82358,positive,A4,160
RWS01_MONIBAS_0041hrl0015rb,A4 northBound naar Amsterdam na afrit 1 ri knppnt De Nieuwe Meer thv hmp 1.6,52.3383,4.82358,positive,A4,161
RWS01_MONIBAS_0041hrl0020ra,A4 northBound naar Amsterdam na afrit 1 ri knppnt De Nieuwe Meer thv hmp 2.0,52.3383,4.817,positive,A4,162
RWS01_MONIBAS_0041hrl0024ra,A4 northBound naar Amsterdam na afrit 1 ri knppnt De Nieuwe Meer thv hmp 2.4,52.3372,4.81101,positive,A4,163
RWS01_MONIBAS_0041hrl0027ra,A4 northBound naar Amsterdam op knppnt Badhoevedorp ri afrit 1 thv hmp 2.8,52.3352,4.80713,positive,A4,164
