measurementSiteReference,index,generatedSiteName,startLocatieForDisplayLat,startLocatieForDisplayLong,specificLocation,alertCDirectionCoded,speed_id
GEO02_PNHTI504r,24C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 22.1,52.3322,4.6438,10744,negative,45
GEO02_PNHTI504r,7C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 22.1,52.3322,4.6438,10744,negative,46
GEO02_PNHTI504r,8C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 22.1,52.3322,4.6438,10744,negative,47
GEO02_PNHTI504r,9C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 22.1,52.3322,4.6438,10744,negative,48
GEO02_PNHTI505,10C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,49
GEO02_PNHTI505,11C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,50
GEO02_PNHTI505,12C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,51
GEO02_PNHTI505,19C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,52
GEO02_PNHTI505,20C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,53
GEO02_PNHTI505,21C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,54
GEO02_PNHTI505,22C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,55
GEO02_PNHTI505,23C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,56
GEO02_PNHTI505,24C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,57
GEO02_PNHTI505,7C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,58
GEO02_PNHTI505,8C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,59
GEO02_PNHTI505,9C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,60
GEO02_PNHTI505r,10C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,61
GEO02_PNHTI505r,11C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,62
GEO02_PNHTI505r,12C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,63
GEO02_PNHTI505r,19C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,64
GEO02_PNHTI505r,20C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,65
GEO02_PNHTI505r,21C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,66
GEO02_PNHTI505r,22C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,67
GEO02_PNHTI505r,23C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,68
GEO02_PNHTI505r,24C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,69
GEO02_PNHTI505r,7C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,70
GEO02_PNHTI505r,8C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,71
GEO02_PNHTI505r,9C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,72
GEO02_PNHTI506,10C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,73
GEO02_PNHTI506,11C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,74
GEO02_PNHTI506,12C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,75
GEO02_PNHTI506,19C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,76
GEO02_PNHTI506,20C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,77
GEO02_PNHTI506,21C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,78
GEO02_PNHTI506,22C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,79
GEO02_PNHTI506,23C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,80
GEO02_PNHTI506,24C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,81
GEO02_PNHTI506,7C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,82
GEO02_PNHTI506,8C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,83
GEO02_PNHTI506,9C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,84
GEO02_PNHTI506r,10C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,85
