measurementSiteReference,index,generatedSiteName,startLocatieForDisplayLat,startLocatieForDisplayLong,specificLocation,alertCDirectionCoded,intensity_id
GEO02_PNHTI504r,3C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 22.1,52.3322,4.6438,10744,negative,45
GEO02_PNHTI504r,4C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 22.1,52.3322,4.6438,10744,negative,46
GEO02_PNHTI504r,5C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 22.1,52.3322,4.6438,10744,negative,47
GEO02_PNHTI504r,6C,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 22.1,52.3322,4.6438,10744,negative,48
GEO02_PNHTI505,13C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,49
GEO02_PNHTI505,14C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,50
GEO02_PNHTI505,15C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,51
GEO02_PNHTI505,16C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,52
GEO02_PNHTI505,17C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,53
GEO02_PNHTI505,18C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,54
GEO02_PNHTI505,1C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,55
GEO02_PNHTI505,2C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,56
GEO02_PNHTI505,3C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,57
GEO02_PNHTI505,4C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,58
GEO02_PNHTI505,5C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,59
GEO02_PNHTI505,6C,N201 na afslag Hoofddorp-Overbos ri kr N520 thv hmp 25.4,52.3164,4.68152,10716,positive,60
GEO02_PNHTI505r,13C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,61
GEO02_PNHTI505r,14C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,62
GEO02_PNHTI505r,15C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,63
GEO02_PNHTI505r,16C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,64
GEO02_PNHTI505r,17C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,65
GEO02_PNHTI505r,18C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,66
GEO02_PNHTI505r,1C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,67
GEO02_PNHTI505r,2C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,68
GEO02_PNHTI505r,3C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,69
GEO02_PNHTI505r,4C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,70
GEO02_PNHTI505r,5C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,71
GEO02_PNHTI505r,6C,N201 na kr N520 ri afslag Hoofddorp-Overbos thv hmp 25.4,52.3164,4.68152,10717,negative,72
GEO02_PNHTI506,13C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,73
GEO02_PNHTI506,14C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,74
GEO02_PNHTI506,15C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,75
GEO02_PNHTI506,16C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,76
GEO02_PNHTI506,17C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,77
GEO02_PNHTI506,18C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,78
GEO02_PNHTI506,1C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,79
GEO02_PNHTI506,2C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,80
GEO02_PNHTI506,3C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,81
GEO02_PNHTI506,4C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,82
GEO02_PNHTI506,5C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,83
GEO02_PNHTI506,6C,N201 na kr N196 ri kr N520 thv hmp 27.6,52.3085,4.70949,22024,negative,84
GEO02_PNHTI506r,13C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,85
GEO02_PNHTI506r,14C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,86
GEO02_PNHTI506r,15C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,87
GEO02_PNHTI506r,16C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,88
GEO02_PNHTI506r,17C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,89
GEO02_PNHTI506r,18C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,90
GEO02_PNHTI506r,1C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,91
GEO02_PNHTI506r,2C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,92
GEO02_PNHTI506r,3C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,93
GEO02_PNHTI506r,4C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,94
GEO02_PNHTI506r,5C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,95
GEO02_PNHTI506r,6C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,96
GEO02_PNHTI507,13C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,97
GEO02_PNHTI507,14C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,98
GEO02_PNHTI507,15C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,99
GEO02_PNHTI507,16C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,100
GEO02_PNHTI507,17C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,101
GEO02_PNHTI507,18C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,102
GEO02_PNHTI507,1C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,103
GEO02_PNHTI507,25C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,104
GEO02_PNHTI507,26C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,105
GEO02_PNHTI507,27C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,106
GEO02_PNHTI507,28C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,107
