startLocatieForDisplayLat	startLocatieForDisplayLong	ROADNUMBER	cor_id
52.4094	4.93263	A10	846
52.4097	4.86008	A10	847
52.4097	4.86032	A10	848
52.4111	4.70032	A9	849
52.4111	4.70049	A9	850
52.4111	4.86105	A10	851
52.4112	4.86094	A10	852
52.4113	4.86165	A10	853
52.4114	4.86205	A10	854
52.4115	4.92882	A10	855
52.4122	4.92699	A10	856
52.4123	4.86224	A10	857
52.4124	4.86212	A10	858
52.4124	4.86277	A10	859
52.4126	4.86321	A10	860
52.4132	4.86349	A10	861
52.4133	4.86317	A10	862
52.4134	4.86304	A10	863
52.4134	4.86393	A10	864
52.4136	4.69895	A9	865
52.4137	4.69911	A9	866
52.4139	4.86374	A10	867
52.414	4.86362	A10	868
52.414	4.86426	A10	869
52.414	4.86452	A10	870
52.4146	4.86481	A10	871
52.4146	4.86437	A10	872
52.4146	4.86508	A10	873
52.4147	4.86425	A10	874
52.4149	4.92197	A10	875
52.4154	4.86558	A10	876
52.4154	4.86587	A10	877
52.4158	4.86553	A10	878
52.4159	4.86541	A10	879
52.4159	4.91924	A10	880
52.4161	4.86631	A10	881
52.4162	4.86661	A10	882
52.4165	4.91749	A10	883
52.4168	4.91778	A10	884
52.4171	4.86678	A10	885
52.4172	4.86663	A10	886
52.4176	4.91538	A10	887
52.4177	4.69604	A9	888
52.4178	4.69617	A9	889
52.4179	4.86826	A10	890
52.4187	4.91172	A10	891
52.4187	4.64372	A208	892
52.4188	4.64372	N208	893
52.4191	4.86923	A10	894
52.4193	4.69454	A9	895
52.4194	4.86902	A10	896
52.4195	4.86881	A10	897
52.4197	4.90999	A10	898
52.4201	4.87079	A10	899
52.4202	4.87045	A10	900
52.4202	4.87039	A10	901
52.4206	4.69257	A9	902
52.4206	4.87041	A10	903
52.4207	4.87015	A10	904
52.4217	4.87482	A10	905
52.422	4.69025	A9	906
52.422	4.87427	A10	907
52.4221	4.87501	A8	908
52.4221	4.69039	A9	909
52.4221	4.90477	A10	910
52.4225	4.96168	N247	911
52.4228	4.87494	A10	912
52.4229	4.87445	A8	913
52.4234	4.87434	A8	914
52.4234	4.87731	A10	915
52.4237	4.89955	A10	916
52.4238	4.68702	A9	917
52.4239	4.68716	A9	918
52.424	4.96383	N247	919
52.4242	4.88239	A8	920
52.4243	4.88199	A10	921
52.4245	4.95108	N235	922
52.4249	4.88505	A10	923
52.425	4.88508	A10	924
52.425	4.89042	A10	925
52.4253	4.88955	A10	926
52.4256	4.68405	A9	927
52.4256	4.68419	A9	928
52.426	4.87429	A8	929
52.426	4.87581	A8	930
52.426	4.87504	A10	931
