date,dataType,hour,dateID
2016-06-01,Flow,00,1
2016-06-01,Flow,01,2
2016-06-01,Flow,03,3
2016-06-01,Flow,04,4
2016-06-01,Flow,05,5
2016-06-01,Flow,06,6
2016-06-01,Flow,07,7
2016-06-01,Flow,08,8
2016-06-01,Flow,09,9
2016-06-01,Flow,10,10
2016-06-01,Flow,11,11
2016-06-01,Flow,12,12
2016-06-01,Flow,13,13
2016-06-01,Flow,14,14
2016-06-01,Flow,15,15
2016-06-01,Flow,16,16
2016-06-01,Flow,17,17
2016-06-01,Flow,18,18
2016-06-01,Flow,19,19
2016-06-01,Flow,20,20
2016-06-01,Flow,21,21
2016-06-01,Flow,22,22
2016-06-01,Flow,23,23
2016-06-02,Flow,00,24
2016-06-02,Flow,01,25
2016-06-02,Flow,02,26
2016-06-02,Flow,03,27
2016-06-02,Flow,05,28
2016-06-02,Flow,06,29
2016-06-02,Flow,07,30
2016-06-02,Flow,08,31
2016-06-02,Flow,09,32
2016-06-02,Flow,10,33
2016-06-02,Flow,11,34
2016-06-02,Flow,12,35
2016-06-02,Flow,13,36
2016-06-02,Flow,14,37
2016-06-02,Flow,15,38
2016-06-02,Flow,16,39
2016-06-02,Flow,17,40
2016-06-02,Flow,18,41
2016-06-02,Flow,19,42
2016-06-02,Flow,20,43
2016-06-02,Flow,21,44
2016-06-02,Flow,22,45
2016-06-02,Flow,23,46
2016-06-03,Flow,00,47
2016-06-03,Flow,01,48
2016-06-03,Flow,03,49
2016-06-03,Flow,04,50
2016-06-03,Flow,05,51
2016-06-03,Flow,06,52
2016-06-03,Flow,07,53
2016-06-03,Flow,08,54
2016-06-03,Flow,09,55
2016-06-03,Flow,10,56
2016-06-03,Flow,11,57
2016-06-03,Flow,12,58
2016-06-03,Flow,13,59
2016-06-03,Flow,14,60
2016-06-03,Flow,15,61
2016-06-03,Flow,16,62
2016-06-03,Flow,17,63
2016-06-03,Flow,18,64
2016-06-03,Flow,19,65
2016-06-03,Flow,20,66
2016-06-03,Flow,21,67
2016-06-03,Flow,22,68
2016-06-03,Flow,23,69
2016-06-04,Flow,00,70
2016-06-04,Flow,01,71
2016-06-04,Flow,02,72
2016-06-04,Flow,05,73
2016-06-04,Flow,06,74
2016-06-04,Flow,07,75
2016-06-04,Flow,08,76
2016-06-04,Flow,09,77
2016-06-04,Flow,10,78
2016-06-04,Flow,11,79
2016-06-04,Flow,12,80
2016-06-04,Flow,13,81
2016-06-04,Flow,14,82
2016-06-04,Flow,15,83
2016-06-10,Flow,03,84
2016-06-10,Flow,04,85
2016-06-10,Flow,05,86
2016-06-10,Flow,06,87
2016-06-10,Flow,07,88
2016-06-10,Flow,08,89
2016-06-10,Flow,09,90
2016-06-10,Flow,10,91
2016-06-10,Flow,11,92
2016-06-10,Flow,12,93
2016-06-10,Flow,13,94
2016-06-10,Flow,14,95
2016-06-10,Flow,15,96
2016-06-10,Flow,16,97
2016-06-10,Flow,17,98
2016-06-10,Flow,18,99
2016-06-10,Flow,19,100
2016-06-10,Flow,20,101
2016-06-10,Flow,21,102
2016-06-10,Flow,22,103
2016-06-10,Flow,23,104
2016-06-11,Flow,00,105
2016-06-11,Flow,01,106
2016-06-11,Flow,02,107
2016-06-11,Flow,03,108
2016-06-11,Flow,05,109
2016-06-11,Flow,06,110
2016-06-11,Flow,07,111
2016-06-11,Flow,08,112
2016-06-11,Flow,09,113
2016-06-11,Flow,10,114
2016-06-11,Flow,11,115
2016-06-11,Flow,12,116
2016-06-11,Flow,13,117
2016-06-11,Flow,14,118
2016-06-11,Flow,15,119
2016-06-11,Flow,16,120
2016-06-11,Flow,17,121
2016-06-11,Flow,18,122
2016-06-11,Flow,19,123
2016-06-11,Flow,20,124
2016-06-11,Flow,21,125
2016-06-11,Flow,22,126
2016-06-11,Flow,23,127
2016-06-12,Flow,00,128
2016-06-12,Flow,01,129
2016-06-12,Flow,02,130
2016-06-12,Flow,03,131
2016-06-12,Flow,04,132
2016-06-12,Flow,05,133
2016-06-12,Flow,06,134
2016-06-12,Flow,07,135
2016-06-12,Flow,08,136
2016-06-12,Flow,09,137
2016-06-12,Flow,10,138
2016-06-12,Flow,11,139
2016-06-12,Flow,12,140
2016-06-12,Flow,13,141
2016-06-12,Flow,14,142
2016-06-12,Flow,15,143
2016-06-12,Flow,16,144
2016-06-12,Flow,17,145
2016-06-12,Flow,18,146
2016-06-12,Flow,19,147
2016-06-12,Flow,20,148
2016-06-12,Flow,21,149
2016-06-12,Flow,22,150
2016-06-12,Flow,23,151
2016-06-13,Flow,00,152
2016-06-13,Flow,01,153
2016-06-13,Flow,02,154
2016-06-13,Flow,03,155
2016-06-13,Flow,05,156
2016-06-13,Flow,06,157
2016-06-13,Flow,07,158
2016-06-13,Flow,08,159
2016-06-13,Flow,09,160
2016-06-13,Flow,10,161
2016-06-13,Flow,11,162
2016-06-13,Flow,12,163
2016-06-13,Flow,13,164
2016-06-13,Flow,14,165
2016-06-13,Flow,15,166
2016-06-13,Flow,16,167
2016-06-13,Flow,17,168
2016-06-13,Flow,18,169
2016-06-13,Flow,19,170
2016-06-13,Flow,20,171
2016-06-13,Flow,21,172
2016-06-13,Flow,22,173
2016-06-13,Flow,23,174
2016-06-14,Flow,00,175
2016-06-14,Flow,01,176
2016-06-14,Flow,03,177
2016-06-14,Flow,04,178
2016-06-14,Flow,05,179
2016-06-14,Flow,06,180
2016-06-14,Flow,07,181
2016-06-14,Flow,08,182
2016-06-14,Flow,09,183
2016-06-14,Flow,10,184
2016-06-14,Flow,11,185
2016-06-14,Flow,12,186
2016-06-14,Flow,13,187
2016-06-14,Flow,14,188
2016-06-14,Flow,15,189
2016-06-14,Flow,16,190
2016-06-14,Flow,17,191
2016-06-14,Flow,18,192
2016-06-14,Flow,19,193
2016-06-14,Flow,20,194
2016-06-14,Flow,21,195
2016-06-14,Flow,22,196
2016-06-14,Flow,23,197
2016-06-15,Flow,00,198
2016-06-15,Flow,01,199
2016-06-15,Flow,02,200
2016-06-15,Flow,04,201
2016-06-15,Flow,05,202
2016-06-15,Flow,06,203
2016-06-15,Flow,07,204
2016-06-15,Flow,08,205
2016-06-15,Flow,09,206
2016-06-15,Flow,10,207
2016-06-15,Flow,11,208
2016-06-15,Flow,12,209
2016-06-15,Flow,13,210
2016-06-15,Flow,14,211
2016-06-15,Flow,15,212
2016-06-15,Flow,16,213
2016-06-15,Flow,17,214
2016-06-15,Flow,18,215
2016-06-15,Flow,19,216
2016-06-15,Flow,20,217
2016-06-15,Flow,21,218
2016-06-15,Flow,22,219
2016-06-15,Flow,23,220
2016-06-16,Flow,00,221
2016-06-16,Flow,01,222
2016-06-16,Flow,02,223
2016-06-16,Flow,03,224
2016-06-16,Flow,04,225
2016-06-16,Flow,05,226
2016-06-16,Flow,06,227
2016-06-16,Flow,07,228
2016-06-16,Flow,08,229
2016-06-16,Flow,09,230
2016-06-16,Flow,10,231
2016-06-16,Flow,11,232
2016-06-16,Flow,12,233
2016-06-16,Flow,13,234
2016-06-16,Flow,14,235
2016-06-16,Flow,15,236
2016-06-16,Flow,16,237
2016-06-16,Flow,17,238
2016-06-16,Flow,18,239
2016-06-16,Flow,19,240
2016-06-16,Flow,20,241
2016-06-16,Flow,21,242
2016-06-16,Flow,22,243
2016-06-16,Flow,23,244
2016-06-17,Flow,00,245
2016-06-17,Flow,01,246
2016-06-17,Flow,02,247
2016-06-17,Flow,03,248
2016-06-17,Flow,04,249
2016-06-17,Flow,05,250
2016-06-17,Flow,06,251
2016-06-17,Flow,07,252
2016-06-17,Flow,08,253
2016-06-17,Flow,09,254
2016-06-17,Flow,10,255
2016-06-17,Flow,11,256
2016-06-17,Flow,12,257
