speedID,std,avg_speed,ref_speedID_dayWeek,ref_speedID_dayWeek_hourDay,dif_speedID_dayWeek,dif_speedID_dayWeek_hourDay,dateID
1,12.601552195281,74.540573741134,53.5862044354087,62.2480927705313,20.9543693057253,12.2924809706027,1346
1,14.2020533817925,74.2243416265139,51.9857032488972,60.3538770592097,22.2386383776167,13.8704645673042,1348
1,10.2940817439143,76.8586704843306,55.8936748867754,64.2797388981754,20.9649955975552,12.5789315861552,1350
1,11.4066660969456,76.9270947181773,54.7810905337441,62.1079153642925,22.1460041844332,14.8191793538847,1352
1,9.50737282882784,76.1815762441462,56.6803838018619,65.56158550663,19.5011924422843,10.6199907375161,1354
1,7.51423897451254,76.2923497848994,58.6735176561772,70.8275765962499,17.6188321287222,5.46477318864946,1356
1,7.24208279480318,76.1532759871405,58.9456738358866,68.9576062260987,17.207602151254,7.19566976104186,1358
1,9.52863009662539,65.028792679504,56.6591265340643,52.318365554954,8.36966614543969,12.7104271245501,1360
1,11.1551504030475,60.4142552349081,55.0326062276422,45.5740030999568,5.38164900726588,14.8402521349513,1362
1,11.6384275065771,61.8540512005254,54.5493291241126,47.9943263434863,7.30472207641273,13.8597248570391,1364
1,14.6261752647284,56.6282856988756,51.5615813659613,39.8154893857122,5.06670433291424,16.8127963131634,1366
1,18.8786753169683,51.3113684093138,47.3090813137214,36.8235348621087,4.00228709559244,14.4878335472051,1368
1,21.7576285075171,47.8555905388875,44.4301281231726,27.1265090604832,3.42546241571488,20.7290814784042,1370
1,11.7774844830481,59.4387205856854,54.4102721476417,47.095253760533,5.02844843804372,12.3434668251524,1372
1,9.91858329011385,62.915798836765,56.2691733405759,42.6567352847719,6.64662549618915,20.2590635519931,1374
1,11.0824321484792,61.648845116396,55.1053244822105,44.4281733223204,6.54352063418543,17.2206717940756,1376
1,8.11319702512089,66.0166586992045,58.0745596055688,55.6478268917094,7.9420990936357,10.3688318074951,1378
1,7.29361139992587,69.8399265915928,58.8941452307639,58.9186593232944,10.9457813608289,10.9212672682984,1380
1,18.2024791479365,60.304248835154,47.9852774827533,48.7578775398865,12.3189713524007,11.5463712952675,1382
1,11.763946706647,69.1929066412922,54.4238099240427,58.5785723446926,14.7690967172495,10.6143342965997,1384
1,6.7847659121774,72.8916556380952,59.4029907185123,64.3196511182767,13.4886649195828,8.57200451981844,1386
1,7.56073504449347,74.0708825663333,58.6270215861963,63.7302975279444,15.4438609801371,10.340585038389,1388
1,7.3555665511458,73.751933181371,58.8321900795439,65.7319866751334,14.9197431018271,8.01994650623762,1390
1,11.2151524702243,75.8042332405382,54.9726041604654,63.2318153292489,20.8316290800728,12.5724179112893,1392
2,11.1369086622861,75.7160450195834,60.7076951727353,64.302652306161,15.008349846848,11.4133927134223,1346
2,13.5694109321145,72.7474945518966,58.2751929029069,62.8905821159713,14.4723016489897,9.85691243592531,1348
2,9.39817621059767,77.8807727602982,62.4464276244238,68.8668248525876,15.4343451358745,9.01394790771064,1350
2,8.69768903495518,78.3841638410426,63.1469148000663,69.9498090920976,15.2372490409763,8.43435474894498,1352
2,8.06439209408213,79.220116450398,63.7802117409393,70.2647823055423,15.4399047094587,8.95533414485571,1354
2,9.6320543097905,77.4832149178805,62.2125495252309,68.3440383327285,15.2706653926495,9.13917658515199,1356
2,9.38343581914046,75.9332211111287,62.461168015881,67.1312632447791,13.4720530952478,8.80195786634965,1358
2,6.86998674489848,72.5173154156955,64.974617090123,65.6742990570894,7.54269832557252,6.84301635860606,1360
2,5.35127246630441,70.6458447848442,66.493331368717,65.9443941599134,4.15251341612718,4.70145062493079,1362
2,5.96018240432698,70.3917875087036,65.8844214306945,64.2889523209191,4.50736607800918,6.10283518778451,1364
2,6.79979209052185,67.4043555822787,65.0448117444996,62.2163753228573,2.35954383777913,5.18798025942141,1366
2,5.71425876094618,67.0422142250001,66.1303450740753,62.422161599994,0.911869150924872,4.62005262500614,1368
2,6.52084960848672,67.2310644800227,65.3237542265347,60.9393569790347,1.90731025348794,6.29170750098796,1370
2,6.92736939291259,68.0386716187338,64.9172344421088,61.8121530653094,3.12143717662495,6.22651855342443,1372
2,5.26809051583584,69.9419454811733,66.5765133191856,62.7224751287479,3.36543216198766,7.21947035242536,1374
2,5.24704091502417,68.7967308507528,66.5975629199973,62.6370900222515,2.19916793075556,6.15964082850135,1376
2,5.77336059668341,69.0207999988641,66.071243238338,57.4665773222981,2.94955676052611,11.554222676566,1378
2,9.04616759310941,63.2456316028849,62.798436241912,43.6521339446739,0.44719536097287,19.5934976582111,1380
2,18.0241672490784,56.8766600090958,53.820436585943,48.1473253731681,3.05622342315281,8.72933463592778,1382
2,6.73780307254833,73.2495994620147,65.1068007624731,67.8450697816695,8.14279869954157,5.40452968034522,1384
2,7.33143130726792,74.757123961541,64.5131725277535,66.9462853628322,10.2439514337875,7.81083859870884,1386
2,8.21646403245373,76.4973834174893,63.6281398025677,67.3719398896168,12.8692436149216,9.12544352787249,1388
2,10.2010551029221,77.9420536058788,61.6435487320993,65.5952768162544,16.2985048737795,12.3467767896244,1390
2,11.1765674529512,77.6414577053138,60.6680363820702,65.7907472747791,16.9734213232436,11.8507104305347,1392
3,16.1569043236815,83.1177852497819,63.5713333756378,66.1877619820286,19.5464518741441,16.9300232677534,1346
3,16.9810069314463,79.295843251335,62.7472307678731,66.436171466379,16.5486124834619,12.859671784956,1348
3,9.60470339481974,82.9302368921857,70.1235343044996,74.4448103768344,12.8067025876861,8.48542651535135,1350
