measurementSiteReference,generatedSiteName,carriageway,startLocatieForDisplayLat,startLocatieForDisplayLong,eindLocatieForDisplayLat,eindLocatieForDisplayLong,alertCDirectionCoded,ROADNUMBER,LocationTableNumber,LocationTableVersion,specificLocation,offsetDistance,LOC_TYPE,LOC_DES,measurementSiteNumberOfLanes,primaryLocation_specificLocation,primaryLocation_offsetDistance,secondaryLocation_specificLocation,secondaryLocation_offsetDistance,ROADNUMBER_PRIM,lengthAffected
RWS01_MONIBAS_0010vwf0046ra0,Nog niet gegenereerd,,52.3506,4.9656,52.3564,4.96622,negative,A1,5.11,A,7001,0,P1.14,Verbindingsweg,2,7185,1300,7001,370,A10,537
RWS01_MONIBAS_0010vwk0070ra0,Nog niet gegenereerd,,52.3297,5.00532,52.3243,5.00488,negative,A1,5.11,A,7007,0,P1.14,Verbindingsweg,2,10563,1850,7007,950,A9,1200
RWS01_MONIBAS_0010vwk0075ra0,Nog niet gegenereerd,,52.3343,5.00444,52.3297,5.00532,negative,A1,5.11,A,7007,250,P1.14,Verbindingsweg,2,7007,250,7007,450,A1,500
RWS01_MONIBAS_0010vwn0074ra0,Nog niet gegenereerd,,52.3346,4.99734,52.3373,4.98989,negative,A1,5.11,A,7004,380,P1.2,Knooppunt (triangle),2,7004,380,7006,525,A1,595
RWS01_MONIBAS_0010vwp0073ra0,Nog niet gegenereerd,,52.3348,4.99577,52.3337,4.9995,positive,A1,5.11,A,7008,1225,P1.3,Afrit,1,7008,1225,7004,880,A1,295
RWS01_MONIBAS_0010vwp0076ra0,Nog niet gegenereerd,,52.3337,4.9995,52.3325,5.00666,positive,A1,5.11,A,7008,695,P1.3,Afrit,1,7008,695,7004,1175,A1,530
RWS01_MONIBAS_0010vwp0082ra0,Nog niet gegenereerd,,52.3325,5.00666,52.3324,5.01117,positive,A1,5.11,A,7008,372,P1.2,Knooppunt (triangle),1,7008,372,7006,505,A1,323
RWS01_MONIBAS_0010vwp0085ra0,Nog niet gegenereerd,,52.3324,5.01117,52.3325,5.01717,positive,A1,5.11,A,7009,3162,P1.2,Knooppunt (triangle),1,7009,3162,7006,828,A1,410
RWS01_MONIBAS_0010vwp0089ra0,Nog niet gegenereerd,,52.3325,5.01717,52.3324,5.0227,positive,A1,5.11,A,7009,2795,P3.2,Brug,1,7009,2795,7008,338,A1,367
RWS01_MONIBAS_0010vwp0093ra0,Nog niet gegenereerd,,52.3324,5.0227,52.3322,5.03038,positive,A1,5.11,A,7009,2285,P3.2,Brug,1,7009,2285,7008,705,A1,510
RWS01_MONIBAS_0010vwp0098ra0,Nog niet gegenereerd,,52.3322,5.03038,52.3321,5.0349,positive,A1,5.11,A,7009,1978,P3.2,Brug,2,7009,1978,7008,1215,A1,307
RWS01_MONIBAS_0010vwp0101ra0,Nog niet gegenereerd,,52.3321,5.0349,52.3321,5.04343,positive,A1,5.11,A,7009,1396,P3.2,Brug,2,7009,1396,7008,1522,A1,582
RWS01_MONIBAS_0010vwp0107ra0,Nog niet gegenereerd,,52.3321,5.04343,52.3311,5.05064,positive,A1,5.11,A,7009,886,P3.2,Brug,2,7009,886,7008,2104,A1,510
RWS01_MONIBAS_0010vwq0076ra0,Nog niet gegenereerd,,52.3337,4.9995,52.3361,4.99245,negative,A1,5.11,A,7004,605,P1.2,Knooppunt (triangle),1,7004,605,7006,325,A1,570
RWS01_MONIBAS_0010vwq0089ra0,Nog niet gegenereerd,,52.3325,5.01717,52.3324,5.01103,negative,A1,5.11,A,7004,2018,P1.3,Afrit,1,7004,2018,7009,2562,A1,420
RWS01_MONIBAS_0010vwq0093ra0,Nog niet gegenereerd,,52.3324,5.0227,52.3325,5.01717,negative,A1,5.11,A,7008,338,P1.3,Afrit,1,7008,338,7009,2195,A1,367
RWS01_MONIBAS_0010vwq0098ra0,Nog niet gegenereerd,,52.3322,5.03039,52.3324,5.0227,negative,A1,5.11,A,7008,705,P1.3,Afrit,2,7008,705,7009,1685,A1,510
RWS01_MONIBAS_0010vwq0101ra0,Nog niet gegenereerd,,52.3321,5.0349,52.3322,5.03039,negative,A1,5.11,A,7008,1215,P1.3,Afrit,2,7008,1215,7009,1378,A1,307
RWS01_MONIBAS_0010vwq0101ra1,Nog niet gegenereerd,,52.3321,5.0349,52.3324,5.02555,negative,A1,5.11,A,7008,888,P1.3,Afrit,2,7008,888,7009,1378,A1,579
RWS01_MONIBAS_0010vwq0104ra0,Nog niet gegenereerd,,52.3321,5.03898,52.3321,5.0349,negative,A1,5.11,A,7008,1522,P1.3,Afrit,2,7008,1522,7009,1100,A1,278
RWS01_MONIBAS_0010vwq0110ra0,Nog niet gegenereerd,,52.3317,5.04771,52.3321,5.03898,negative,A1,5.11,A,7008,1800,P1.3,Afrit,2,7008,1800,7009,500,A1,600
RWS01_MONIBAS_0011hrl0036ra0,Nog niet gegenereerd,,52.3469,4.95834,52.3437,4.95523,negative,A1,5.11,A,7000,235,P1.2,Knooppunt (triangle),3,7000,235,7000,1460,A1,405
RWS01_MONIBAS_0011hrl0040ra0,Nog niet gegenereerd,,52.3502,4.96085,52.3469,4.95834,negative,A1,5.11,A,7000,640,P1.2,Knooppunt (triangle),2,7000,640,7000,1060,A1,400
RWS01_MONIBAS_0011hrl0040rb0,Nog niet gegenereerd,,52.3502,4.96085,52.3469,4.95834,negative,A1,5.11,A,7000,640,P1.2,Knooppunt (triangle),1,7000,640,7000,1060,A1,400
RWS01_MONIBAS_0011hrl0045ra0,Nog niet gegenereerd,,52.3516,4.96592,52.3502,4.96085,negative,A1,5.11,A,7000,1040,P1.2,Knooppunt (triangle),2,7000,1040,7000,530,A1,530
RWS01_MONIBAS_0011hrl0049ra0,Nog niet gegenereerd,,52.3488,4.96995,52.3506,4.9656,negative,A1,5.11,A,7001,430,P1.3,Afrit,2,7001,430,7003,710,A1,414
RWS01_MONIBAS_0011hrl0049rb0,Nog niet gegenereerd,,52.3488,4.96995,52.3516,4.96592,negative,A1,5.11,A,7000,1570,P1.2,Knooppunt (triangle),3,7000,1570,7000,110,A1,420
RWS01_MONIBAS_0011hrl0052ra0,Nog niet gegenereerd,,52.3474,4.97359,52.3488,4.96995,negative,A1,5.11,A,7000,1990,P1.3,Afrit,5,7000,1990,7003,415,A1,295
RWS01_MONIBAS_0011hrl0052ra1,Nog niet gegenereerd,,52.3474,4.97359,52.3488,4.96995,negative,A1,5.11,A,7000,1990,P1.3,Afrit,5,7000,1990,7003,415,A1,295
RWS01_MONIBAS_0011hrl0056ra0,Nog niet gegenereerd,,52.3457,4.97747,52.3474,4.97359,negative,A1,5.11,A,7000,2285,P1.3,Afrit,5,7000,2285,7003,90,A1,325
RWS01_MONIBAS_0011hrl0060ra0,Nog niet gegenereerd,,52.3432,4.9815,52.3457,4.97747,negative,A1,5.11,A,7000,2610,P1.3,Afrit,4,7000,2610,7004,1200,A1,390
RWS01_MONIBAS_0011hrl0065ra0,Nog niet gegenereerd,,52.3393,4.98649,52.3432,4.9815,negative,A1,5.11,A,7003,300,P1.3,Afrit,4,7003,300,7004,645,A1,555
RWS01_MONIBAS_0011hrl0068ra0,Nog niet gegenereerd,,52.3373,4.98989,52.3393,4.98649,negative,A1,5.11,A,7004,55,P1.3,Afrit,4,7004,55,7004,320,A1,325
RWS01_MONIBAS_0011hrl0074ra0,Nog niet gegenereerd,,52.3344,4.99724,52.3373,4.98989,negative,A1,5.11,A,7004,380,P1.2,Knooppunt (triangle),3,7004,380,7006,525,A1,595
RWS01_MONIBAS_0011hrl0076ra0,Nog niet gegenereerd,,52.3337,4.99994,52.3346,4.99734,negative,A1,5.11,A,7004,975,P1.2,Knooppunt (triangle),1,7004,975,7006,325,A1,200
RWS01_MONIBAS_0011hrl0081ra0,Nog niet gegenereerd,,52.3327,5.00695,52.3344,4.99724,negative,A1,5.11,A,7004,975,P3.2,Brug,5,7004,975,7008,705,A1,720
RWS01_MONIBAS_0011hrl0081ra1,Nog niet gegenereerd,,52.3327,5.00695,52.3343,5.00444,negative,A1,5.11,A,7007,750,P3.2,Brug,5,7007,750,7008,705,A1,695
RWS01_MONIBAS_0011hrl0085ra0,Nog niet gegenereerd,,52.3325,5.01113,52.3327,5.00695,negative,A1,5.11,A,7004,1695,P3.2,Brug,4,7004,1695,7008,382,A1,323
RWS01_MONIBAS_0011hrl0089ra0,Nog niet gegenereerd,,52.3325,5.01717,52.3325,5.01113,negative,A1,5.11,A,7004,2018,P1.3,Afrit,4,7004,2018,7009,2562,A1,420
RWS01_MONIBAS_0011hrl0094ra0,Nog niet gegenereerd,,52.3324,5.02555,52.3325,5.01717,negative,A1,5.11,A,7008,338,P1.3,Afrit,4,7008,338,7009,2012,A1,550
RWS01_MONIBAS_0011hrl0098ra0,Nog niet gegenereerd,,52.3323,5.03061,52.3324,5.02555,negative,A1,5.11,A,7008,888,P1.3,Afrit,3,7008,888,7009,1675,A1,337
RWS01_MONIBAS_0011hrl0101ra0,Nog niet gegenereerd,,52.3323,5.035,52.3323,5.03061,negative,A1,5.11,A,7008,1225,P1.3,Afrit,3,7008,1225,7009,1378,A1,297
RWS01_MONIBAS_0011hrl0107ra0,Nog niet gegenereerd,,52.3322,5.04359,52.3323,5.035,negative,A1,5.11,A,7008,1522,P1.3,Afrit,3,7008,1522,7009,796,A1,582
RWS01_MONIBAS_0011hrl0112ra0,Nog niet gegenereerd,,52.3311,5.0508,52.3322,5.04359,negative,A1,5.11,A,7008,2104,P1.3,Afrit,3,7008,2104,7009,286,A1,510
RWS01_MONIBAS_0011hrr0040ra0,Nog niet gegenereerd,,52.3472,4.95946,52.3502,4.9642,positive,A1,5.11,A,7000,535,P1.2,Knooppunt (triangle),3,7000,535,7000,85,A1,480
RWS01_MONIBAS_0011hrr0045ra0,Nog niet gegenereerd,,52.3502,4.9642,52.3478,4.97186,positive,A1,5.11,A,7003,240,P1.2,Knooppunt (triangle),3,7003,240,7000,565,A1,595
RWS01_MONIBAS_0011hrr0051ra0,Nog niet gegenereerd,,52.3478,4.97186,52.3431,4.98128,positive,A1,5.11,A,7004,1300,P1.2,Knooppunt (triangle),5,7004,1300,7000,1160,A1,840
RWS01_MONIBAS_0011hrr0060ra0,Nog niet gegenereerd,,52.3431,4.98128,52.3372,4.98975,positive,A1,5.11,A,7004,420,P1.3,Afrit,4,7004,420,7003,600,A1,880
RWS01_MONIBAS_0011hrr0068ra0,Nog niet gegenereerd,,52.3372,4.98975,52.3346,4.99584,positive,A1,5.11,A,7008,1520,P1.3,Afrit,4,7008,1520,7004,380,A1,500
RWS01_MONIBAS_0011hrr0073ra0,Nog niet gegenereerd,,52.3346,4.99584,52.3335,4.99982,positive,A1,5.11,A,7008,1225,P1.3,Afrit,6,7008,1225,7004,880,A1,295
RWS01_MONIBAS_0011hrr0076ra0,Nog niet gegenereerd,,52.3335,4.99982,52.3324,5.00719,positive,A1,5.11,A,7008,695,P1.3,Afrit,6,7008,695,7004,1175,A1,530
RWS01_MONIBAS_0011hrr0076ra1,Nog niet gegenereerd,,52.3335,4.99982,52.3295,5.00511,positive,A1,5.11,A,7005,450,P1.3,Afrit,6,7005,450,7004,1175,A1,759
RWS01_MONIBAS_0011hrr0082ra0,Nog niet gegenereerd,,52.3324,5.00719,52.3324,5.01736,positive,A1,5.11,A,7009,3152,P1.2,Knooppunt (triangle),3,7009,3152,7006,505,A1,743
RWS01_MONIBAS_0011hrr0089ra0,Nog niet gegenereerd,,52.3324,5.01736,52.3322,5.0267,positive,A1,5.11,A,7009,2529,P3.2,Brug,4,7009,2529,7008,348,A1,623
RWS01_MONIBAS_0011hrr0095ra0,Nog niet gegenereerd,,52.3322,5.0267,52.332,5.0328,positive,A1,5.11,A,7009,2120,P3.2,Brug,4,7009,2120,7008,971,A1,409
RWS01_MONIBAS_0011hrr0101ra0,Nog niet gegenereerd,,52.332,5.0349,52.332,5.04346,positive,A1,5.11,A,7009,1396,P3.2,Brug,4,7009,1396,7008,1522,A1,582
RWS01_MONIBAS_0011hrr0107ra0,Nog niet gegenereerd,,52.332,5.04346,52.3309,5.05069,positive,A1,5.11,A,7009,886,P3.2,Brug,3,7009,886,7008,2104,A1,510
RWS01_MONIBAS_0020vwe0363ra0,Nog niet gegenereerd,,52.2867,4.94175,52.2864,4.93436,negative,A2,5.11,A,8008,300,P1.14,Verbindingsweg,2,8008,300,8008,505,A2,495
RWS01_MONIBAS_0020vwe0368ra0,Nog niet gegenereerd,,52.2864,4.93436,52.2869,4.92617,negative,A2,5.11,A,8008,0,P1.14,Verbindingsweg,2,10572,4040,8008,1000,A9,560
RWS01_MONIBAS_0020vwf0309ra0,Nog niet gegenereerd,,52.3289,4.91899,52.3303,4.92323,positive,A2,5.11,A,8011,0,P1.14,Verbindingsweg,2,8011,0,8011,500,A2,284
RWS01_MONIBAS_0020vwf0352ra0,Nog niet gegenereerd,,52.2955,4.9408,52.2989,4.9452,positive,A2,5.11,A,8005,0,P1.14,Verbindingsweg,2,8005,0,8005,170,A2,487
RWS01_MONIBAS_0020vwg0355ra0,Nog niet gegenereerd,,52.297,4.94163,52.2991,4.94511,negative,A2,5.11,A,8007,0,P1.14,Verbindingsweg,1,8007,0,8007,800,A2,450
RWS01_MONIBAS_0020vwh0304ra0,Nog niet gegenereerd,,52.33,4.90615,52.3316,4.90008,positive,A2,5.11,A,8010,0,P1.14,Verbindingsweg,2,7197,94,8010,1700,A10,434
RWS01_MONIBAS_0020vwh0307ra0,Nog niet gegenereerd,,52.3302,4.91131,52.33,4.90615,positive,A2,5.11,A,8010,100,P1.14,Verbindingsweg,2,8010,100,8010,1350,A2,350
RWS01_MONIBAS_0020vwh0314ra0,Nog niet gegenereerd,,52.3259,4.91417,52.3302,4.91131,positive,A2,5.11,A,8010,450,P1.14,Verbindingsweg,4,8010,450,8010,700,A2,650
RWS01_MONIBAS_0020vwh0314ra1,Nog niet gegenereerd,,52.3259,4.91417,52.3289,4.91899,positive,A2,5.11,A,8010,0,P1.14,Verbindingsweg,4,8010,0,8010,700,A2,500
RWS01_MONIBAS_0020vwh0319ra0,Nog niet gegenereerd,,52.3215,4.91519,52.3259,4.91417,positive,A2,5.11,A,8010,1100,P1.14,Verbindingsweg,3,8010,1100,8010,200,A2,500
RWS01_MONIBAS_0020vwm0348ra0,Nog niet gegenereerd,,52.2988,4.93672,52.2958,4.93925,negative,A2,5.11,A,8006,1800,P1.1,Knooppunt,2,8006,1800,8006,30,A2,370
RWS01_MONIBAS_0020vwm0348rb0,Nog niet gegenereerd,,52.2988,4.93672,52.297,4.94163,negative,A2,5.11,A,8007,300,P1.3,Afrit,1,8007,300,8009,1830,A2,670
RWS01_MONIBAS_0020vwm0358ra0,Nog niet gegenereerd,,52.2907,4.94305,52.2871,4.94688,negative,A2,5.11,A,8006,720,P1.1,Knooppunt,4,8006,720,8006,1030,A2,450
RWS01_MONIBAS_0020vwm0358ra1,Nog niet gegenereerd,,52.2907,4.94305,52.2867,4.94175,negative,A2,5.11,A,8008,795,P1.3,Afrit,4,8008,795,8009,2830,A2,475
RWS01_MONIBAS_0020vwm0362ra0,Nog niet gegenereerd,,52.2873,4.94668,52.2854,4.94838,negative,A2,5.11,A,8006,490,P1.1,Knooppunt,2,8006,490,8006,1450,A2,260
RWS01_MONIBAS_0020vwn0344ra0,Nog niet gegenereerd,,52.3023,4.93445,52.3058,4.9306,positive,A2,5.11,A,8009,950,P1.1,Knooppunt,2,8009,950,8006,2780,A2,470
RWS01_MONIBAS_0020vwn0348ra0,Nog niet gegenereerd,,52.2993,4.93727,52.3023,4.93445,positive,A2,5.11,A,8009,1420,P1.1,Knooppunt,1,8009,1420,8006,2400,A2,380
RWS01_MONIBAS_0020vwn0355ra0,Nog niet gegenereerd,,52.2936,4.94224,52.2993,4.93727,positive,A2,5.11,A,8009,1800,P1.1,Knooppunt,4,8009,1800,8006,1680,A2,720
RWS01_MONIBAS_0020vwn0355ra1,Nog niet gegenereerd,,52.2936,4.94224,52.2955,4.9408,positive,A2,5.11,A,8005,530,P1.3,Afrit,4,8005,530,8003,3980,A2,290
RWS01_MONIBAS_0021hrl0319ra0,Nog niet gegenereerd,,52.3215,4.91507,52.3261,4.91372,positive,A2,5.11,A,8012,575,P1.3,Afrit,1,8012,575,8009,1700,A2,525
RWS01_MONIBAS_0021hrl0322ra0,Nog niet gegenereerd,,52.3187,4.91699,52.3215,4.91507,positive,A2,5.11,A,8012,1100,P1.3,Afrit,4,8012,1100,8009,1360,A2,340
RWS01_MONIBAS_0021hrl0322ra1,Nog niet gegenereerd,,52.3187,4.91699,52.3215,4.91519,positive,A2,5.11,A,8010,1600,P1.3,Afrit,4,8010,1600,8009,1360,A2,340
RWS01_MONIBAS_0021hrl0328ra0,Nog niet gegenereerd,,52.3144,4.92142,52.3187,4.91699,positive,A2,5.11,A,8012,1440,P1.3,Afrit,4,8012,1440,8009,800,A2,560
RWS01_MONIBAS_0021hrl0333ra0,Nog niet gegenereerd,,52.3107,4.92547,52.3144,4.92142,positive,A2,5.11,A,8012,2000,P1.3,Afrit,4,8012,2000,8009,300,A2,500
RWS01_MONIBAS_0021hrl0339ra0,Nog niet gegenereerd,,52.3058,4.9306,52.3107,4.92547,positive,A2,5.11,A,8009,300,P1.1,Knooppunt,4,8009,300,8006,3250,A2,650
RWS01_MONIBAS_0021hrl0344ra0,Nog niet gegenereerd,,52.3023,4.9341,52.3058,4.9306,positive,A2,5.11,A,8009,950,P1.1,Knooppunt,2,8009,950,8006,2800,A2,450
RWS01_MONIBAS_0021hrl0348ra0,Nog niet gegenereerd,,52.2992,4.93698,52.3023,4.9341,positive,A2,5.11,A,8009,1400,P1.1,Knooppunt,2,8009,1400,8006,2400,A2,400
RWS01_MONIBAS_0021hrl0352ra0,Nog niet gegenereerd,,52.2956,4.94007,52.2992,4.93698,positive,A2,5.11,A,8009,1800,P1.1,Knooppunt,2,8009,1800,8006,1950,A2,450
RWS01_MONIBAS_0021hrl0360ra0,Nog niet gegenereerd,,52.2897,4.94523,52.2956,4.94007,positive,A2,5.11,A,8009,2250,P1.1,Knooppunt,3,8009,2250,8006,1200,A2,750
RWS01_MONIBAS_0021hrl0363ra0,Nog niet gegenereerd,,52.2872,4.94739,52.2899,4.94503,positive,A2,5.11,A,8009,2970,P1.1,Knooppunt,3,8009,2970,8006,890,A2,340
RWS01_MONIBAS_0021hrl0363rb0,Nog niet gegenereerd,,52.2872,4.94739,52.2936,4.94224,positive,A2,5.11,A,8009,2520,P1.1,Knooppunt,2,8009,2520,8006,890,A2,790
RWS01_MONIBAS_0021hrl0365ra0,Nog niet gegenereerd,,52.2857,4.94866,52.2872,4.94739,positive,A2,5.11,A,8009,3310,P1.1,Knooppunt,4,8009,3310,8006,700,A2,190
RWS01_MONIBAS_0021hrl0365ra1,Nog niet gegenereerd,,52.2857,4.94866,52.2872,4.94739,positive,A2,5.11,A,8009,3310,P1.1,Knooppunt,4,8009,3310,8006,700,A2,190
RWS01_MONIBAS_0021hrl0368ra0,Nog niet gegenereerd,,52.2825,4.95129,52.2857,4.94866,positive,A2,5.11,A,8009,3500,P1.1,Knooppunt,4,8009,3500,8006,302,A2,398
RWS01_MONIBAS_0021hrl0373ra0,Nog niet gegenereerd,,52.2792,4.95392,52.2825,4.95129,positive,A2,5.11,A,8009,3898,P1.3,Afrit,6,8009,3898,8003,2196,A2,406
RWS01_MONIBAS_0021hrl0373ra1,Nog niet gegenereerd,,52.2792,4.95392,52.2825,4.95212,positive,A2,5.11,A,8004,712,P1.3,Afrit,6,8004,712,8003,2196,A2,392
RWS01_MONIBAS_0021hrl0379ra0,Nog niet gegenereerd,,52.2742,4.95768,52.2792,4.95392,positive,A2,5.11,A,21697,104,P1.3,Afrit,6,21697,104,8003,1588,A2,608
RWS01_MONIBAS_0021hrl0385ra0,Nog niet gegenereerd,,52.2692,4.96036,52.2742,4.95768,positive,A2,5.11,A,21697,712,P1.3,Afrit,6,21697,712,8003,990,A2,598
RWS01_MONIBAS_0021hrr0308ra0,Nog niet gegenereerd,,52.3307,4.91276,52.3266,4.91343,negative,A2,5.11,A,8012,585,P1.3,Afrit,3,8012,585,8016,755,A2,460
RWS01_MONIBAS_0021hrr0313ra0,Nog niet gegenereerd,,52.3266,4.91343,52.3223,4.91443,negative,A2,5.11,A,8012,100,P1.1,Knooppunt,2,8012,100,8012,415,A2,485
RWS01_MONIBAS_0021hrr0318ra0,Nog niet gegenereerd,,52.3223,4.91443,52.3181,4.91717,negative,A2,5.11,A,8009,1400,P1.1,Knooppunt,1,8009,1400,8012,900,A2,500
RWS01_MONIBAS_0021hrr0323ra0,Nog niet gegenereerd,,52.3181,4.91717,52.3158,4.91954,negative,A2,5.11,A,8009,1100,P1.1,Knooppunt,4,8009,1100,8012,1400,A2,300
RWS01_MONIBAS_0021hrr0326ra0,Nog niet gegenereerd,,52.3158,4.91954,52.3121,4.92363,negative,A2,5.11,A,8009,595,P1.1,Knooppunt,4,8009,595,8012,1700,A2,505
RWS01_MONIBAS_0021hrr0331ra0,Nog niet gegenereerd,,52.3121,4.92363,52.3086,4.9273,negative,A2,5.11,A,8009,135,P1.3,Afrit,4,8009,135,8009,105,A2,460
RWS01_MONIBAS_0021hrr0335ra0,Nog niet gegenereerd,,52.3086,4.9273,52.3053,4.93073,negative,A2,5.11,A,8006,3000,P1.3,Afrit,4,8006,3000,8009,565,A2,435
RWS01_MONIBAS_0021hrr0340ra0,Nog niet gegenereerd,,52.3053,4.93073,52.303,4.9331,negative,A2,5.11,A,8006,2700,P1.3,Afrit,4,8006,2700,8009,1000,A2,300
RWS01_MONIBAS_0021hrr0343ra0,Nog niet gegenereerd,,52.303,4.9331,52.2991,4.93683,negative,A2,5.11,A,8006,2200,P1.3,Afrit,4,8006,2200,8009,1300,A2,500
RWS01_MONIBAS_0021hrr0343ra1,Nog niet gegenereerd,,52.303,4.9331,52.2988,4.93672,negative,A2,5.11,A,8006,2170,P1.3,Afrit,4,8006,2170,8009,1300,A2,530
RWS01_MONIBAS_0021hrr0343ra2,Nog niet gegenereerd,,52.303,4.9331,52.2988,4.93672,negative,A2,5.11,A,8006,2170,P1.3,Afrit,4,8006,2170,8009,1300,A2,530
RWS01_MONIBAS_0021hrr0348ra0,Nog niet gegenereerd,,52.2991,4.93683,52.2952,4.94027,negative,A2,5.11,A,8006,1700,P1.1,Knooppunt,2,8006,1700,8006,0,A2,500
RWS01_MONIBAS_0021hrr0353ra0,Nog niet gegenereerd,,52.2952,4.94027,52.2899,4.94483,negative,A2,5.11,A,8006,1030,P1.1,Knooppunt,2,8006,1030,8006,500,A2,670
RWS01_MONIBAS_0021hrr0360ra0,Nog niet gegenereerd,,52.2896,4.94503,52.2859,4.94817,negative,A2,5.11,A,8006,537,P1.1,Knooppunt,2,8006,537,8006,1200,A2,463
RWS01_MONIBAS_0021hrr0364ra0,Nog niet gegenereerd,,52.2859,4.94817,52.2819,4.95132,negative,A2,5.11,A,8006,30,P1.1,Knooppunt,2,8006,30,8006,1663,A2,507
RWS01_MONIBAS_0021hrr0369ra0,Nog niet gegenereerd,,52.2819,4.95132,52.2773,4.95468,negative,A2,5.11,A,8003,1860,P1.1,Knooppunt,4,8003,1860,8006,2170,A2,570
RWS01_MONIBAS_0021hrr0375ra0,Nog niet gegenereerd,,52.2773,4.95468,52.2724,4.95809,negative,A2,5.11,A,8003,1269,P1.1,Knooppunt,6,8003,1269,8006,2740,A2,591
RWS01_MONIBAS_0040vwh0003ra0,Nog niet gegenereerd,,52.3379,4.84096,52.3416,4.8409,positive,A4,5.11,A,9236,0,P1.14,Verbindingsweg,2,9236,0,9236,600,A4,310
RWS01_MONIBAS_0040vwh0007ra0,Nog niet gegenereerd,,52.3376,4.83581,52.3379,4.84096,positive,A4,5.11,A,9236,300,P1.14,Verbindingsweg,2,9236,300,9236,200,A4,400
RWS01_MONIBAS_0040vwm0034ra0,Nog niet gegenereerd,,52.3317,4.8002,52.3302,4.79736,negative,A4,5.11,A,9227,4850,P1.1,Knooppunt,3,9227,4850,9231,5,A4,245
RWS01_MONIBAS_0040vwm0066ra0,Nog niet gegenereerd,,52.3081,4.74783,52.3081,4.74783,negative,A4,5.11,A,9227,1500,P1.3,Afrit,2,9227,1500,9227,533,A4,367
RWS01_MONIBAS_0040vwm0070ra0,Nog niet gegenereerd,,52.3168,4.75342,52.3081,4.74783,negative,A4,5.11,A,9227,1100,P3.1,Tunnel,2,9227,1100,9228,100,A4,400
RWS01_MONIBAS_0040vwm0074ra0,Nog niet gegenereerd,,52.3168,4.75342,52.3025,4.74425,negative,A4,5.11,A,9226,1000,P3.1,Tunnel,2,9226,1000,9228,500,A4,400
RWS01_MONIBAS_0040vwm0101ra0,Nog niet gegenereerd,,52.2932,4.73238,52.2897,4.7279,negative,A4,5.11,A,9240,219,P1.2,Knooppunt (triangle),2,9240,219,9240,275,A4,506
RWS01_MONIBAS_0040vwm0106ra0,Nog niet gegenereerd,,52.2897,4.7279,52.2875,4.72489,negative,A4,5.11,A,9225,1119,P1.2,Knooppunt (triangle),4,9225,1119,9240,781,A4,300
RWS01_MONIBAS_0040vwm0109ra0,Nog niet gegenereerd,,52.2875,4.72489,52.2852,4.72173,negative,A4,5.11,A,9225,789,P1.2,Knooppunt (triangle),4,9225,789,9240,1081,A4,330
RWS01_MONIBAS_0040vwm0113ra0,Nog niet gegenereerd,,52.2852,4.72173,52.2821,4.71728,negative,A4,5.11,A,9225,329,P1.3,Afrit,2,9225,329,9225,311,A4,460
RWS01_MONIBAS_0040vwm0117ra0,Nog niet gegenereerd,,52.2821,4.71728,52.2786,4.71226,negative,A4,5.11,A,21980,813,P1.3,Afrit,2,21980,813,9225,771,A4,516
RWS01_MONIBAS_0040vwm0122ra0,Nog niet gegenereerd,,52.2786,4.71226,52.2766,4.7094,negative,A4,5.11,A,21980,513,P1.3,Afrit,3,21980,513,9225,1287,A4,300
RWS01_MONIBAS_0040vwm0125ra0,Nog niet gegenereerd,,52.2766,4.7094,52.2738,4.70541,negative,A4,5.11,A,21980,103,P1.3,Afrit,3,21980,103,9225,1587,A4,410
RWS01_MONIBAS_0040vwm0129ra0,Nog niet gegenereerd,,52.2738,4.70541,52.2694,4.69936,negative,A4,5.11,A,9220,2961,P1.3,Afrit,2,9220,2961,21980,397,A4,642
RWS01_MONIBAS_0040vwn0036ra0,Nog niet gegenereerd,,52.3297,4.79826,52.3335,4.80434,positive,A4,5.11,A,9234,1256,P1.1,Knooppunt,1,9234,1256,9231,1355,A4,589
RWS01_MONIBAS_0040vwn0063ra0,Nog niet gegenereerd,,52.3168,4.75342,52.3236,4.76701,positive,A4,5.11,A,9231,2700,P3.1,Tunnel,2,9231,2700,9228,1100,A4,400
RWS01_MONIBAS_0040vwn0066ra0,Nog niet gegenereerd,,52.3168,4.75342,52.3286,4.79537,positive,A4,5.11,A,9231,3100,P3.1,Tunnel,2,9231,3100,9228,800,A4,300
RWS01_MONIBAS_0040vwn0069ra0,Nog niet gegenereerd,,52.3168,4.75342,52.3286,4.79537,positive,A4,5.11,A,9231,3400,P3.1,Tunnel,2,9231,3400,9228,500,A4,300
RWS01_MONIBAS_0040vwn0074ra0,Nog niet gegenereerd,,52.3168,4.75342,52.3081,4.74783,positive,A4,5.11,A,9227,600,P3.1,Tunnel,2,9227,600,9228,0,A4,500
RWS01_MONIBAS_0040vwn0077ra0,Nog niet gegenereerd,,52.3081,4.74783,52.3081,4.74783,positive,A4,5.11,A,9227,1100,P1.3,Afrit,2,9227,1100,9227,800,A4,300
RWS01_MONIBAS_0040vwn0100ra0,Nog niet gegenereerd,,52.2936,4.73472,52.2958,4.73793,positive,A4,5.11,A,9226,900,P1.2,Knooppunt (triangle),2,9226,900,9240,870,A4,330
