measurementSiteReference,generatedSiteName,carriageway,startLocatieForDisplayLat,startLocatieForDisplayLong,eindLocatieForDisplayLat,eindLocatieForDisplayLong,alertCDirectionCoded,ROADNUMBER,LocationTableNumber,LocationTableVersion,specificLocation,offsetDistance,LOC_TYPE,LOC_DES,measurementSiteNumberOfLanes,primaryLocation_specificLocation,primaryLocation_offsetDistance,secondaryLocation_specificLocation,secondaryLocation_offsetDistance,ROADNUMBER_PRIM,lengthAffected
GAD01_MOA_Route34A,Nog niet gegenereerd,,52.4233,4.88278,52.4028,4.89731,positive,s118,5.11,A,25321,785,P1.3,Afrit,1,25321,785,25320,135,s118,3358
GAD01_MOA_Route34B,Nog niet gegenereerd,,52.4028,4.89731,52.3861,4.91332,positive,s118,5.11,A,25322,0,P1.11,Kruising,1,25314,805,25457,610,s116,3206
GAD01_MOA_Route35A,Nog niet gegenereerd,,52.386,4.91345,52.403,4.89708,negative,s116,5.11,A,25313,0,P1.11,Kruising,1,25457,585,25314,805,s118,3317
GAD01_MOA_Route35B,Nog niet gegenereerd,,52.403,4.89708,52.4251,4.88066,negative,s118,5.11,A,25320,0,P1.11,Kruising,1,7215,245,25321,815,A10,3665
GAD01_MOA_Route36A_M,Nog niet gegenereerd,,52.3084,4.97111,52.3231,4.95485,positive,s112,5.11,A,25294,0,P1.3,Afrit,1,25354,2105,25293,65,v111-113,2538
GAD01_MOA_Route36B_L,Nog niet gegenereerd,,52.3254,4.95567,52.3379,4.9391,positive,s112,5.11,A,25295,0,P1.11,Kruising,1,7190,330,25294,205,A10,1886
GAD01_MOA_Route36B_R,Nog niet gegenereerd,,52.3254,4.95578,52.3361,4.94311,positive,s112,5.11,A,25295,0,P1.11,Kruising,1,7190,280,25294,205,A10,1522
GAD01_MOA_Route37A_R,Nog niet gegenereerd,,52.3361,4.94352,52.3232,4.9548,negative,s112,5.11,A,25294,0,P1.3,Afrit,1,25354,2110,25295,135,v111-113,1741
GAD01_MOA_Route37B_L,Nog niet gegenereerd,,52.3221,4.95842,52.3083,4.97089,negative,s112,5.11,A,25293,0,P1.11,Kruising,1,10564,450,25294,205,A9,1773
GAD01_MOA_Route37B_R,Nog niet gegenereerd,,52.3221,4.95843,52.3077,4.97191,negative,s112,5.11,A,25293,0,P1.11,Kruising,1,10564,510,25294,205,A9,1860
