measurementSiteReference,generatedSiteName,index,carriageway,specificLane,specificVehicleCharacteristics,startLocatieForDisplayLat,startLocatieForDisplayLong,alertCDirectionCoded,ROADNUMBER,LocationTableNumber,LocationTableVersion,specificLocation,offsetDistance,LOC_TYPE,LOC_DES,trafficID
GEO02_PNHTI503,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,1C,mainCarriageway,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,52.3398,4.6358,positive,N201,5.11,A,10713,2000,P3.37,Bebouwde kom,1
GEO02_PNHTI503,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,2C,mainCarriageway,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,52.3398,4.6358,positive,N201,5.11,A,10713,2000,P3.37,Bebouwde kom,2
GEO02_PNHTI503,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,3C,mainCarriageway,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,52.3398,4.6358,positive,N201,5.11,A,10713,2000,P3.37,Bebouwde kom,3
GEO02_PNHTI503,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,4C,mainCarriageway,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,52.3398,4.6358,positive,N201,5.11,A,10713,2000,P3.37,Bebouwde kom,4
GEO02_PNHTI503,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,5C,mainCarriageway,lane1,greaterThan 12.20,52.3398,4.6358,positive,N201,5.11,A,10713,2000,P3.37,Bebouwde kom,5
GEO02_PNHTI503,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,6C,mainCarriageway,lane1,anyVehicle,52.3398,4.6358,positive,N201,5.11,A,10713,2000,P3.37,Bebouwde kom,6
GEO02_PNHTI503,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,13C,mainCarriageway,lane2,greaterThan 1.85 and lessThanOrEqualTo 2.40,52.3398,4.6358,positive,N201,5.11,A,10713,2000,P3.37,Bebouwde kom,7
GEO02_PNHTI503,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,14C,mainCarriageway,lane2,greaterThan 2.40 and lessThanOrEqualTo 5.60,52.3398,4.6358,positive,N201,5.11,A,10713,2000,P3.37,Bebouwde kom,8
GEO02_PNHTI503,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,15C,mainCarriageway,lane2,greaterThan 5.60 and lessThanOrEqualTo 11.50,52.3398,4.6358,positive,N201,5.11,A,10713,2000,P3.37,Bebouwde kom,9
GEO02_PNHTI503,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,16C,mainCarriageway,lane2,greaterThan 11.50 and lessThanOrEqualTo 12.20,52.3398,4.6358,positive,N201,5.11,A,10713,2000,P3.37,Bebouwde kom,10
GEO02_PNHTI503,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,17C,mainCarriageway,lane2,greaterThan 12.20,52.3398,4.6358,positive,N201,5.11,A,10713,2000,P3.37,Bebouwde kom,11
GEO02_PNHTI503,N201 na aansl Schalkwijk/Haarlem ri kr N205 thv hmp 21.0,18C,mainCarriageway,lane2,anyVehicle,52.3398,4.6358,positive,N201,5.11,A,10713,2000,P3.37,Bebouwde kom,12
GEO02_PNHTI503r,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,1C,mainCarriageway,lane1,greaterThan 1.85 and lessThanOrEqualTo 2.40,52.3398,4.6358,negative,N201,5.11,A,10714,300,P3.2,Brug,13
GEO02_PNHTI503r,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,2C,mainCarriageway,lane1,greaterThan 2.40 and lessThanOrEqualTo 5.60,52.3398,4.6358,negative,N201,5.11,A,10714,300,P3.2,Brug,14
GEO02_PNHTI503r,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,3C,mainCarriageway,lane1,greaterThan 5.60 and lessThanOrEqualTo 11.50,52.3398,4.6358,negative,N201,5.11,A,10714,300,P3.2,Brug,15
GEO02_PNHTI503r,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,4C,mainCarriageway,lane1,greaterThan 11.50 and lessThanOrEqualTo 12.20,52.3398,4.6358,negative,N201,5.11,A,10714,300,P3.2,Brug,16
GEO02_PNHTI503r,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,5C,mainCarriageway,lane1,greaterThan 12.20,52.3398,4.6358,negative,N201,5.11,A,10714,300,P3.2,Brug,17
GEO02_PNHTI503r,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,6C,mainCarriageway,lane1,anyVehicle,52.3398,4.6358,negative,N201,5.11,A,10714,300,P3.2,Brug,18
GEO02_PNHTI503r,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,13C,mainCarriageway,lane2,greaterThan 1.85 and lessThanOrEqualTo 2.40,52.3398,4.6358,negative,N201,5.11,A,10714,300,P3.2,Brug,19
GEO02_PNHTI503r,N201 na kr N205 ri aansl Schalkwijk/Haarlem thv hmp 21.0,14C,mainCarriageway,lane2,greaterThan 2.40 and lessThanOrEqualTo 5.60,52.3398,4.6358,negative,N201,5.11,A,10714,300,P3.2,Brug,20
