roadID,probabilityOfOccurrence,operatorActionStatus,sourceName,date,hour
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,00
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,01
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,02
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,03
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,04
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,05
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,06
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,07
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,08
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,09
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,10
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,11
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,12
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,13
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,14
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,15
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,16
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,17
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,18
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,19
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,20
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,21
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,22
12,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-06-05,23
