date,dataType,hour,dateID
2016-06-04,Speed,20,186
2016-06-04,Flow,21,187
2016-06-04,Speed,21,188
2016-06-04,Flow,22,189
2016-06-04,Speed,22,190
2016-06-04,Flow,23,191
2016-06-04,Speed,23,192
2016-06-05,Flow,00,193
2016-06-05,Speed,00,194
2016-06-05,Flow,01,195
2016-06-05,Speed,01,196
2016-06-05,Flow,02,197
2016-06-05,Speed,02,198
2016-06-05,Flow,03,199
2016-06-05,Speed,03,200
2016-06-05,Flow,04,201
2016-06-05,Speed,04,202
2016-06-05,Flow,05,203
2016-06-05,Speed,05,204
2016-06-05,Flow,06,205
2016-06-05,Speed,06,206
2016-06-05,Flow,07,207
2016-06-05,Speed,07,208
2016-06-05,Flow,08,209
2016-06-05,Speed,08,210
2016-06-05,Flow,09,211
2016-06-05,Speed,09,212
2016-06-05,Flow,10,213
2016-06-05,Speed,10,214
2016-06-05,Flow,11,215
2016-06-05,Speed,11,216
2016-06-05,Flow,12,217
2016-06-05,Speed,12,218
2016-06-05,Flow,13,219
2016-06-05,Speed,13,220
2016-06-05,Flow,14,221
2016-06-05,Speed,14,222
2016-06-05,Flow,15,223
2016-06-05,Speed,15,224
2016-06-05,Flow,16,225
2016-06-05,Speed,16,226
2016-06-05,Flow,17,227
2016-06-05,Speed,17,228
2016-06-05,Flow,18,229
2016-06-05,Speed,18,230
2016-06-05,Flow,19,231
2016-06-05,Speed,19,232
2016-06-05,Flow,20,233
2016-06-05,Speed,20,234
2016-06-05,Flow,21,235
2016-06-05,Speed,21,236
2016-06-05,Flow,22,237
2016-06-05,Speed,22,238
2016-06-05,Flow,23,239
2016-06-05,Speed,23,240
2016-06-06,Flow,00,241
2016-06-06,Speed,00,242
2016-06-06,Flow,01,243
2016-06-06,Speed,01,244
2016-06-06,Flow,02,245
2016-06-06,Speed,02,246
2016-06-06,Flow,03,247
2016-06-06,Speed,03,248
2016-06-06,Flow,04,249
2016-06-06,Speed,04,250
2016-06-06,Flow,05,251
2016-06-06,Speed,05,252
2016-06-06,Flow,06,253
2016-06-06,Speed,06,254
2016-06-06,Flow,07,255
2016-06-06,Speed,07,256
2016-06-06,Flow,08,257
2016-06-06,Speed,08,258
2016-06-06,Flow,09,259
2016-06-06,Speed,09,260
2016-06-06,Flow,10,261
