measurementSiteReference,startLocatieForDisplayLat,startLocatieForDisplayLong,ROADNUMBER,flowID
RWS01_MONIBAS_0010vwq0142ra,52.319,5.09122,A1,218
RWS01_MONIBAS_0011hrl0032ra,52.3437,4.95523,A1,219
RWS01_MONIBAS_0011hrl0036ra,52.3469,4.95834,A1,220
RWS01_MONIBAS_0011hrl0040ra,52.3502,4.96085,A1,221
RWS01_MONIBAS_0011hrl0040rb,52.3502,4.96085,A1,222
RWS01_MONIBAS_0011hrl0045ra,52.3516,4.96592,A1,223
RWS01_MONIBAS_0011hrl0049ra,52.3488,4.96995,A1,224
RWS01_MONIBAS_0011hrl0049rb,52.3488,4.96995,A1,225
RWS01_MONIBAS_0011hrl0052ra,52.3474,4.97359,A1,226
RWS01_MONIBAS_0011hrl0056ra,52.3457,4.97747,A1,227
RWS01_MONIBAS_0011hrl0060ra,52.3432,4.9815,A1,228
RWS01_MONIBAS_0011hrl0065ra,52.3393,4.98649,A1,229
RWS01_MONIBAS_0011hrl0068ra,52.3373,4.98989,A1,230
RWS01_MONIBAS_0011hrl0070ra,52.3362,4.99217,A1,231
RWS01_MONIBAS_0011hrl0074ra,52.3344,4.99724,A1,232
RWS01_MONIBAS_0011hrl0076ra,52.3337,4.99994,A1,233
RWS01_MONIBAS_0011hrl0079ra,52.333,5.00377,A1,234
RWS01_MONIBAS_0011hrl0081ra,52.3327,5.00695,A1,235
RWS01_MONIBAS_0011hrl0085ra,52.3325,5.01113,A1,236
RWS01_MONIBAS_0011hrl0089ra,52.3325,5.01717,A1,237
RWS01_MONIBAS_0011hrl0094ra,52.3324,5.02555,A1,238
RWS01_MONIBAS_0011hrl0098ra,52.3323,5.03061,A1,239
RWS01_MONIBAS_0011hrl0101ra,52.3323,5.035,A1,240
RWS01_MONIBAS_0011hrl0107ra,52.3322,5.04359,A1,241
RWS01_MONIBAS_0011hrl0112ra,52.3311,5.0508,A1,242
RWS01_MONIBAS_0011hrl0117ra,52.3289,5.05766,A1,243
RWS01_MONIBAS_0011hrl0119ra,52.3278,5.06105,A1,244
RWS01_MONIBAS_0011hrl0124ra,52.3261,5.06644,A1,245
RWS01_MONIBAS_0011hrl0126ra,52.3253,5.06934,A1,246
RWS01_MONIBAS_0011hrl0129ra,52.3243,5.07324,A1,247
RWS01_MONIBAS_0011hrl0132ra,52.3231,5.07721,A1,248
RWS01_MONIBAS_0011hrl0135ra,52.3221,5.08093,A1,249
RWS01_MONIBAS_0011hrl0139ra,52.3202,5.08733,A1,250
RWS01_MONIBAS_0011hrl0142ra,52.3191,5.09122,A1,251
RWS01_MONIBAS_0011hrr0040ra,52.3472,4.95946,A1,252
RWS01_MONIBAS_0011hrr0045ra,52.3502,4.9642,A1,253
RWS01_MONIBAS_0011hrr0051ra,52.3478,4.97186,A1,254
RWS01_MONIBAS_0011hrr0053ra,52.3467,4.97452,A1,255
RWS01_MONIBAS_0011hrr0060ra,52.3431,4.98128,A1,256
RWS01_MONIBAS_0011hrr0063ra,52.3406,4.98437,A1,257
RWS01_MONIBAS_0011hrr0068ra,52.3372,4.98975,A1,258
RWS01_MONIBAS_0011hrr0070ra,52.3361,4.99199,A1,259
RWS01_MONIBAS_0011hrr0070rb,52.3361,4.99199,A1,260
RWS01_MONIBAS_0011hrr0073ra,52.3346,4.99584,A1,261
RWS01_MONIBAS_0011hrr0076ra,52.3335,4.99982,A1,262
RWS01_MONIBAS_0011hrr0079ra,52.3328,5.0036,A1,263
RWS01_MONIBAS_0011hrr0082ra,52.3324,5.00719,A1,264
RWS01_MONIBAS_0011hrr0085ra,52.3323,5.01135,A1,265
RWS01_MONIBAS_0011hrr0089ra,52.3324,5.01736,A1,266
RWS01_MONIBAS_0011hrr0095ra,52.3322,5.0267,A1,267
RWS01_MONIBAS_0011hrr0101ra,52.332,5.0349,A1,268
RWS01_MONIBAS_0011hrr0107ra,52.332,5.04346,A1,269
RWS01_MONIBAS_0011hrr0112ra,52.3309,5.05069,A1,270
RWS01_MONIBAS_0011hrr0116ra,52.3293,5.05577,A1,271
RWS01_MONIBAS_0011hrr0119ra,52.3277,5.06069,A1,272
RWS01_MONIBAS_0011hrr0124ra,52.3257,5.06705,A1,273
RWS01_MONIBAS_0011hrr0126ra,52.3251,5.06911,A1,274
RWS01_MONIBAS_0011hrr0129ra,52.324,5.07308,A1,275
RWS01_MONIBAS_0011hrr0132ra,52.3229,5.07707,A1,276
RWS01_MONIBAS_0011hrr0135ra,52.3216,5.08163,A1,277
RWS01_MONIBAS_0011hrr0140ra,52.3199,5.08778,A1,278
RWS01_MONIBAS_0020vwa0331ra,52.312,4.92352,A2,279
RWS01_MONIBAS_0020vwa0389ra,52.2648,4.96181,A2,280
RWS01_MONIBAS_0020vwb0335ra,52.3086,4.92716,A2,281
RWS01_MONIBAS_0020vwd0331ra,52.3122,4.92395,A2,282
RWS01_MONIBAS_0020vwd0391ra,52.2648,4.96425,A2,283
RWS01_MONIBAS_0020vwe0363ra,52.2867,4.94175,A2,284
RWS01_MONIBAS_0020vwe0368ra,52.2864,4.93436,A2,285
RWS01_MONIBAS_0020vwf0309ra,52.3289,4.91899,A2,286
RWS01_MONIBAS_0020vwf0352ra,52.2955,4.9408,A2,287
RWS01_MONIBAS_0020vwg0351ra,52.2965,4.93786,A2,288
RWS01_MONIBAS_0020vwg0355ra,52.297,4.94163,A2,289
RWS01_MONIBAS_0020vwh0304ra,52.33,4.90615,A2,290
RWS01_MONIBAS_0020vwh0307ra,52.3302,4.91131,A2,291
RWS01_MONIBAS_0020vwh0314ra,52.3259,4.91417,A2,292
RWS01_MONIBAS_0020vwh0316ra,52.3241,4.91433,A2,293
RWS01_MONIBAS_0020vwh0319ra,52.3215,4.91519,A2,294
RWS01_MONIBAS_0020vwh0369ra,52.2825,4.95212,A2,295
RWS01_MONIBAS_0020vwm0348ra,52.2988,4.93672,A2,296
RWS01_MONIBAS_0020vwm0348rb,52.2988,4.93672,A2,297
RWS01_MONIBAS_0020vwm0358ra,52.2907,4.94305,A2,298
RWS01_MONIBAS_0020vwm0362ra,52.2873,4.94668,A2,299
RWS01_MONIBAS_0020vwm0365ra,52.2854,4.94838,A2,300
RWS01_MONIBAS_0020vwn0344ra,52.3023,4.93445,A2,301
RWS01_MONIBAS_0020vwn0348ra,52.2993,4.93727,A2,302
RWS01_MONIBAS_0020vwn0355ra,52.2936,4.94224,A2,303
RWS01_MONIBAS_0020vwn0357ra,52.2921,4.94348,A2,304
RWS01_MONIBAS_0021hrl0313ra,52.3261,4.91372,A2,305
RWS01_MONIBAS_0021hrl0319ra,52.3215,4.91507,A2,306
RWS01_MONIBAS_0021hrl0322ra,52.3187,4.91699,A2,307
RWS01_MONIBAS_0021hrl0325ra,52.3163,4.9194,A2,308
RWS01_MONIBAS_0021hrl0328ra,52.3144,4.92142,A2,309
RWS01_MONIBAS_0021hrl0333ra,52.3107,4.92547,A2,310
RWS01_MONIBAS_0021hrl0335ra,52.3087,4.92756,A2,311
RWS01_MONIBAS_0021hrl0335rb,52.3089,4.92728,A2,312
RWS01_MONIBAS_0021hrl0339ra,52.3058,4.9306,A2,313
RWS01_MONIBAS_0021hrl0344ra,52.3023,4.9341,A2,314
RWS01_MONIBAS_0021hrl0348ra,52.2992,4.93698,A2,315
RWS01_MONIBAS_0021hrl0352ra,52.2956,4.94007,A2,316
RWS01_MONIBAS_0021hrl0360ra,52.2897,4.94523,A2,317
RWS01_MONIBAS_0021hrl0363ra,52.2872,4.94739,A2,318
RWS01_MONIBAS_0021hrl0363rb,52.2872,4.94739,A2,319
RWS01_MONIBAS_0021hrl0365ra,52.2857,4.94866,A2,320
RWS01_MONIBAS_0021hrl0368ra,52.2825,4.95129,A2,321
RWS01_MONIBAS_0021hrl0368rb,52.2826,4.95123,A2,322
RWS01_MONIBAS_0021hrl0373ra,52.2792,4.95392,A2,323
RWS01_MONIBAS_0021hrl0379ra,52.2742,4.95768,A2,324
RWS01_MONIBAS_0021hrl0385ra,52.2692,4.96036,A2,325
RWS01_MONIBAS_0021hrl0391ra,52.2641,4.96326,A2,326
RWS01_MONIBAS_0021hrl0397ra,52.259,4.96597,A2,327
RWS01_MONIBAS_0021hrr0308ra,52.3307,4.91276,A2,328
RWS01_MONIBAS_0021hrr0310ra,52.3286,4.9131,A2,329
RWS01_MONIBAS_0021hrr0310rb,52.3286,4.9131,A2,330
RWS01_MONIBAS_0021hrr0313ra,52.3266,4.91343,A2,331
RWS01_MONIBAS_0021hrr0318ra,52.3223,4.91443,A2,332
RWS01_MONIBAS_0021hrr0323ra,52.3181,4.91717,A2,333
RWS01_MONIBAS_0021hrr0326ra,52.3158,4.91954,A2,334
RWS01_MONIBAS_0021hrr0329ra,52.3136,4.92196,A2,335
RWS01_MONIBAS_0021hrr0331ra,52.3121,4.92363,A2,336
RWS01_MONIBAS_0021hrr0335ra,52.3086,4.9273,A2,337
RWS01_MONIBAS_0021hrr0340ra,52.3053,4.93073,A2,338
RWS01_MONIBAS_0021hrr0343ra,52.303,4.9331,A2,339
RWS01_MONIBAS_0021hrr0348ra,52.2991,4.93683,A2,340
RWS01_MONIBAS_0021hrr0353ra,52.2952,4.94027,A2,341
RWS01_MONIBAS_0021hrr0360ra,52.2896,4.94503,A2,342
RWS01_MONIBAS_0021hrr0364ra,52.2859,4.94817,A2,343
RWS01_MONIBAS_0021hrr0369ra,52.2819,4.95132,A2,344
RWS01_MONIBAS_0021hrr0375ra,52.2773,4.95468,A2,345
RWS01_MONIBAS_0021hrr0381ra,52.2724,4.95809,A2,346
RWS01_MONIBAS_0021hrr0387ra,52.2672,4.96064,A2,347
RWS01_MONIBAS_0021hrr0390ra,52.2649,4.962,A2,348
RWS01_MONIBAS_0021hrr0392ra,52.2625,4.96349,A2,349
RWS01_MONIBAS_0040vwa0019ra,52.3389,4.81792,A4,350
RWS01_MONIBAS_0040vwa0112ra,52.2862,4.72245,A4,351
RWS01_MONIBAS_0040vwa0128ra,52.2749,4.70633,A4,352
RWS01_MONIBAS_0040vwb0027ra,52.3362,4.8075,A4,353
RWS01_MONIBAS_0040vwc0024ra,52.337,4.81111,A4,354
RWS01_MONIBAS_0040vwc0119ra,52.2804,4.71741,A4,355
RWS01_MONIBAS_0040vwc0129ra,52.2731,4.70664,A4,356
RWS01_MONIBAS_0040vwd0020ra,52.3381,4.81698,A4,357
RWS01_MONIBAS_0040vwe0036ra,52.3308,4.79683,A4,358
RWS01_MONIBAS_0040vwf0041ra,52.3266,4.79285,A4,359
RWS01_MONIBAS_0040vwh0003ra,52.3379,4.84096,A4,360
RWS01_MONIBAS_0040vwh0007ra,52.3376,4.83581,A4,361
RWS01_MONIBAS_0040vwh0007rb,52.3378,4.83476,A4,362
RWS01_MONIBAS_0040vwh0105ra,52.29,4.73044,A4,363
RWS01_MONIBAS_0040vwm0034ra,52.3317,4.8002,A4,364
RWS01_MONIBAS_0040vwm0036ra,52.3302,4.79736,A4,365
RWS01_MONIBAS_0040vwm0066ra,52.3081,4.74783,A4,366
RWS01_MONIBAS_0040vwm0069ra,52.3168,4.75342,A4,367
RWS01_MONIBAS_0040vwm0070ra,52.3168,4.75342,A4,368
RWS01_MONIBAS_0040vwm0072ra,52.3168,4.75342,A4,369
RWS01_MONIBAS_0040vwm0073ra,52.3168,4.75342,A4,370
RWS01_MONIBAS_0040vwm0074ra,52.3168,4.75342,A4,371
RWS01_MONIBAS_0040vwm0078ra,52.3168,4.75342,A4,372
RWS01_MONIBAS_0040vwm0099ra,52.2947,4.73555,A4,373
RWS01_MONIBAS_0040vwm0101ra,52.2932,4.73238,A4,374
RWS01_MONIBAS_0040vwm0106ra,52.2897,4.7279,A4,375
RWS01_MONIBAS_0040vwm0109ra,52.2875,4.72489,A4,376
RWS01_MONIBAS_0040vwm0113ra,52.2852,4.72173,A4,377
RWS01_MONIBAS_0040vwm0117ra,52.2821,4.71728,A4,378
RWS01_MONIBAS_0040vwm0122ra,52.2786,4.71226,A4,379
RWS01_MONIBAS_0040vwm0125ra,52.2766,4.7094,A4,380
RWS01_MONIBAS_0040vwm0129ra,52.2738,4.70541,A4,381
RWS01_MONIBAS_0040vwm0133ra,52.2713,4.70188,A4,382
RWS01_MONIBAS_0040vwm0136ra,52.2694,4.69936,A4,383
RWS01_MONIBAS_0040vwn0036ra,52.3297,4.79826,A4,384
RWS01_MONIBAS_0040vwn0063ra,52.3168,4.75342,A4,385
RWS01_MONIBAS_0040vwn0066ra,52.3168,4.75342,A4,386
RWS01_MONIBAS_0040vwn0069ra,52.3168,4.75342,A4,387
RWS01_MONIBAS_0040vwn0071ra,52.3168,4.75342,A4,388
RWS01_MONIBAS_0040vwn0072ra,52.3168,4.75342,A4,389
RWS01_MONIBAS_0040vwn0074ra,52.3168,4.75342,A4,390
RWS01_MONIBAS_0040vwn0075ra,52.3081,4.74783,A4,391
RWS01_MONIBAS_0040vwn0077ra,52.3081,4.74783,A4,392
RWS01_MONIBAS_0040vwn0100ra,52.2936,4.73472,A4,393
RWS01_MONIBAS_0040vwn0102ra,52.2919,4.73297,A4,394
RWS01_MONIBAS_0040vwn0105ra,52.2899,4.73093,A4,395
RWS01_MONIBAS_0040vwn0108ra,52.288,4.72724,A4,396
RWS01_MONIBAS_0040vwn0108rb,52.288,4.72724,A4,397
RWS01_MONIBAS_0040vwn0110ra,52.2864,4.72487,A4,398
RWS01_MONIBAS_0040vwn0113ra,52.2843,4.72182,A4,399
RWS01_MONIBAS_0040vwn0113rb,52.2843,4.72182,A4,400
RWS01_MONIBAS_0040vwn0118ra,52.2811,4.71732,A4,401
RWS01_MONIBAS_0040vwn0121ra,52.2791,4.71452,A4,402
RWS01_MONIBAS_0040vwn0124ra,52.2768,4.71117,A4,403
RWS01_MONIBAS_0040vwn0129ra,52.2736,4.70652,A4,404
RWS01_MONIBAS_0040vwn0132ra,52.2717,4.70384,A4,405
RWS01_MONIBAS_0040vwn0132rb,52.2718,4.70393,A4,406
RWS01_MONIBAS_0041hrl0004ra,52.3377,4.83897,A4,407
RWS01_MONIBAS_0041hrl0007ra,52.3382,4.83486,A4,408
