flowID,date,avg_flow,week_day,ref_flowID_dayWeek,ref_flowID_dayWeek_hourDay,dif_flowID_dayWeek,dif_flowID_dayWeek_hourDay
6,2016-07-18-16,362.142857142857,Monday,271.788339577644,423.476440427214,90.3545175652129,-61.3335832843565
6,2016-07-18-17,317.777777777778,Monday,271.788339577644,379.091039432374,45.9894382001335,-61.3132616545957
6,2016-07-18-18,204.905660377359,Monday,271.788339577644,242.965608487129,-66.8826792002858,-38.0599481097708
6,2016-07-18-19,143.529411764706,Monday,271.788339577644,149.090765082666,-128.258927812938,-5.56135331796043
6,2016-07-18-20,150.63829787234,Monday,271.788339577644,135.545324107579,-121.150041705304,15.0929737647611
6,2016-07-18-21,146.153846153846,Monday,271.788339577644,112.844937173496,-125.634493423798,33.3089089803497
6,2016-07-18-22,121.666666666667,Monday,271.788339577644,103.183335981779,-150.121672910978,18.483330684888
6,2016-07-18-23,75,Monday,271.788339577644,71.5572410782495,-196.788339577644,3.44275892175052
12,2016-07-18-16,574,Monday,419.829469820167,617.173922266481,154.170530179833,-43.1739222664812
12,2016-07-18-17,540,Monday,419.829469820167,570.813559322034,120.170530179833,-30.8135593220339
12,2016-07-18-18,406,Monday,419.829469820167,447.062202554897,-13.8294698201672,-41.0622025548969
12,2016-07-18-19,322.758620689655,Monday,419.829469820167,380.165580804068,-97.070849130512,-57.4069601144128
12,2016-07-18-20,355.932203389831,Monday,419.829469820167,355.365617433414,-63.8972664303366,0.566585956416475
12,2016-07-18-21,325,Monday,419.829469820167,304.076081007115,-94.8294698201672,20.9239189928845
12,2016-07-18-22,285.762711864407,Monday,419.829469820167,278.607873424063,-134.06675795576,7.15483844034395
12,2016-07-18-23,161.785714285714,Monday,419.829469820167,162.00380065277,-258.043755534453,-0.218086367056031
18,2016-07-18-16,676.551724137931,Monday,344.000848601999,791.000383010819,332.550875535932,-114.448658872888
18,2016-07-18-17,855.254237288136,Monday,344.000848601999,882.691232757522,511.253388686137,-27.4369954693865
18,2016-07-18-18,687.368421052632,Monday,344.000848601999,767.100230879916,343.367572450633,-79.7318098272843
18,2016-07-18-19,376.981132075472,Monday,344.000848601999,365.684532483306,32.980283473473,11.2965995921653
18,2016-07-18-20,204.210526315789,Monday,344.000848601999,200.620524824424,-139.790322286209,3.59000149136506
18,2016-07-18-21,146.511627906977,Monday,344.000848601999,158.526865880183,-197.489220695022,-12.015237973206
18,2016-07-18-22,127.826086956522,Monday,344.000848601999,116.937000887311,-216.174761645477,10.8890860692103
18,2016-07-18-23,92.9032258064516,Monday,344.000848601999,87.9762952101662,-251.097622795547,4.92693059628545
24,2016-07-18-16,546,Monday,364.230739375396,663.136477681044,181.769260624604,-117.136477681044
24,2016-07-18-17,648,Monday,364.230739375396,768.54731656728,283.769260624604,-120.54731656728
24,2016-07-18-18,612.631578947369,Monday,364.230739375396,686.937408456206,248.400839571973,-74.3058295088371
24,2016-07-18-19,383.571428571429,Monday,364.230739375396,420.163491161439,19.3406891960328,-36.5920625900103
24,2016-07-18-20,313,Monday,364.230739375396,348.091836734694,-51.2307393753958,-35.0918367346939
24,2016-07-18-21,294.117647058824,Monday,364.230739375396,278.690356953224,-70.1130923165723,15.4272901056
24,2016-07-18-22,207.368421052632,Monday,364.230739375396,226.922522554194,-156.862318322764,-19.5541015015622
24,2016-07-18-23,154.444444444444,Monday,364.230739375396,159.138035820389,-209.786294930951,-4.69359137594432
30,2016-07-18-16,376.8,Monday,260.056140053624,403.756182472989,116.743859946376,-26.9561824729892
30,2016-07-18-17,297.6,Monday,260.056140053624,349.222485838246,37.5438599463765,-51.6224858382461
30,2016-07-18-18,229.5,Monday,260.056140053624,243.204042715484,-30.5561400536236,-13.7040427154844
30,2016-07-18-19,152.307692307692,Monday,260.056140053624,134.772119682074,-107.748447745931,17.5355726256182
30,2016-07-18-20,148.5,Monday,260.056140053624,115.974828375286,-111.556140053624,32.525171624714
30,2016-07-18-21,163.448275862069,Monday,260.056140053624,104.819975047156,-96.6078641915546,58.6283008149134
30,2016-07-18-22,105,Monday,260.056140053624,99.092861386979,-155.056140053624,5.90713861302096
30,2016-07-18-23,65,Monday,260.056140053624,78.3529411764706,-195.056140053624,-13.3529411764706
36,2016-07-18-16,452.903225806452,Monday,370.073518182405,526.577329363776,82.8297076240465,-73.6741035573246
36,2016-07-18-17,463.448275862069,Monday,370.073518182405,501.660543154283,93.3747576796639,-38.2122672922144
36,2016-07-18-18,381.052631578947,Monday,370.073518182405,407.707311421852,10.9791133965422,-26.6546798429047
36,2016-07-18-19,294.642857142857,Monday,370.073518182405,327.189037467338,-75.430661039548,-32.5461803244804
36,2016-07-18-20,304,Monday,370.073518182405,305.484063753774,-66.0735181824051,-1.48406375377368
36,2016-07-18-21,330.566037735849,Monday,370.073518182405,281.801346331786,-39.507480446556,48.7646914040633
36,2016-07-18-22,278.947368421053,Monday,370.073518182405,257.794768921134,-91.1261497613525,21.1525994999187
36,2016-07-18-23,162.857142857143,Monday,370.073518182405,155.540813445124,-207.216375325262,7.31632941201877
42,2016-07-18-16,578.709677419355,Monday,281.019326668558,672.758892716416,297.690350750797,-94.0492152970613
42,2016-07-18-17,763,Monday,281.019326668558,866.814394255657,481.980673331443,-103.814394255657
42,2016-07-18-18,545,Monday,281.019326668558,630.112527080413,263.980673331443,-85.1125270804129
42,2016-07-18-19,256.071428571429,Monday,281.019326668558,272.949691688408,-24.9478980971289,-16.8782631169794
42,2016-07-18-20,153.75,Monday,281.019326668558,164.941916021067,-127.269326668557,-11.1919160210668
42,2016-07-18-21,105,Monday,281.019326668558,119.109753203607,-176.019326668557,-14.109753203607
42,2016-07-18-22,102.222222222222,Monday,281.019326668558,102.458132075272,-178.797104446335,-0.235909853049805
42,2016-07-18-23,91.764705882353,Monday,281.019326668558,83.4465786314526,-189.254620786205,8.31812725090036
48,2016-07-18-16,696.774193548387,Monday,418.311658064808,773.05006639069,278.462535483579,-76.2758728423027
48,2016-07-18-17,792,Monday,418.311658064808,837.746931618936,373.688341935192,-45.7469316189363
48,2016-07-18-18,717,Monday,418.311658064808,732.714285714286,298.688341935192,-15.7142857142857
48,2016-07-18-19,453,Monday,418.311658064808,511.499901693299,34.6883419351917,-58.4999016932993
48,2016-07-18-20,402,Monday,418.311658064808,395.164648910412,-16.3116580648083,6.83535108958836
48,2016-07-18-21,294,Monday,418.311658064808,307.944309927361,-124.311658064808,-13.9443099273608
48,2016-07-18-22,246.206896551724,Monday,418.311658064808,253.879435584871,-172.104761513084,-7.67253903314688
48,2016-07-18-23,173.684210526316,Monday,418.311658064808,173.4705691794,-244.627447538493,0.213641346915324
54,2016-07-18-16,221.739130434783,Monday,235.016692805137,237.901427466841,-13.2775623703547,-16.1622970320585
54,2016-07-18-17,185.714285714286,Monday,235.016692805137,184.848128596753,-49.3024070908516,0.866157117532509
54,2016-07-18-18,141.666666666667,Monday,235.016692805137,153.005602240896,-93.3500261384706,-11.3389355742297
54,2016-07-18-19,129.677419354839,Monday,235.016692805137,119.866372215265,-105.339273450299,9.81104713957342
54,2016-07-18-20,126.666666666667,Monday,235.016692805137,106.893013893014,-108.350026138471,19.7736527736528
54,2016-07-18-21,97.5,Monday,235.016692805137,90.6212507074137,-137.516692805137,6.87874929258631
54,2016-07-18-22,70.9090909090909,Monday,235.016692805137,78.7947099788532,-164.107601896046,-7.8856190697623
54,2016-07-18-23,60,Monday,235.016692805137,68.3675833969952,-175.016692805137,-8.36758339699516
60,2016-07-18-16,620,Monday,445.078793490215,578.857142857143,174.921206509785,41.1428571428571
60,2016-07-18-17,455,Monday,445.078793490215,491.501210653753,9.92120650978478,-36.5012106537531
60,2016-07-18-18,403.728813559322,Monday,445.078793490215,409.523002421308,-41.3499799308932,-5.7941888619855
60,2016-07-18-19,383,Monday,445.078793490215,404.687322744939,-62.0787934902152,-21.6873227449386
60,2016-07-18-20,394.5,Monday,445.078793490215,365.820621468927,-50.5787934902152,28.6793785310734
60,2016-07-18-21,270,Monday,445.078793490215,266.498534471773,-175.078793490215,3.50146552822736
60,2016-07-18-22,236,Monday,445.078793490215,237.684030755919,-209.078793490215,-1.68403075591854
60,2016-07-18-23,140,Monday,445.078793490215,158.613262554439,-305.078793490215,-18.613262554439
66,2016-07-18-16,683.225806451613,Monday,262.10886981159,738.104897289698,421.116936640023,-54.8790908380848
66,2016-07-18-17,998,Monday,262.10886981159,1220.13317191283,735.89113018841,-222.133171912833
