flowID,avg_flow,ref_flowID_dayWeek,ref_flowID_dayWeek_hourDay,dif_flowID_dayWeek,dif_flowID_dayWeek_hourDay,dateID
6,96.9230769230769,279.485226452489,77.9645354645355,-182.562149529412,18.9585414585415,721
6,60,279.485226452489,60,-219.485226452489,0,722
6,60,279.485226452489,60,-219.485226452489,0,723
6,60,279.485226452489,60,-219.485226452489,0,724
6,70.5882352941177,279.485226452489,68.9117647058824,-208.896991158371,1.6764705882353,725
6,159.545454545455,279.485226452489,180.172504415104,-119.939771907034,-20.6270498696493,726
6,493,279.485226452489,624.672413793104,213.514773547511,-131.672413793103,727
6,694,279.485226452489,824.357142857143,414.514773547511,-130.357142857143,728
6,476.666666666667,279.485226452489,459.679601546239,197.181440214178,16.9870651204282,729
6,342.105263157895,279.485226452489,346.029055690073,62.6200367054061,-3.92379253217791,730
6,388.75,279.485226452489,349.681450393224,109.264773547511,39.0685496067756,731
6,340.754716981132,279.485226452489,365.010482180294,61.2694905286434,-24.2557651991614,732
6,340.677966101695,279.485226452489,353.973668280872,61.1927396492063,-13.2957021791768,733
6,316.842105263158,279.485226452489,377.359649122807,37.3568788106693,-60.5175438596491,734
6,426.923076923077,279.485226452489,424.891688770999,147.437850470588,2.0313881520778,735
6,379.285714285714,279.485226452489,424.499060150376,99.8004878332257,-45.2133458646617,736
12,144,419.485215078209,135.6,-275.485215078209,8.40000000000001,721
12,101.142857142857,419.485215078209,94.9942750632406,-318.342357935352,6.14858207961656,722
12,75,419.485215078209,80.906125608138,-344.485215078209,-5.90612560813798,723
12,85.7142857142857,419.485215078209,79.373235460192,-333.770929363923,6.34105025409373,724
12,100,419.485215078209,94.5128676470588,-319.485215078209,5.48713235294117,752
12,165,419.485215078209,177.473529411765,-254.485215078209,-12.4735294117647,725
12,357,419.485215078209,389.406779661017,-62.4852150782088,-32.406779661017,726
12,643,419.485215078209,731.639830508475,223.514784921791,-88.6398305084746,727
12,750,419.485215078209,867.236842105263,330.514784921791,-117.236842105263,728
12,628.888888888889,419.485215078209,618.221330161562,209.40367381068,10.6675587273268,729
12,576.206896551724,419.485215078209,562.776769509982,156.721681473515,13.4301270417423,730
12,581.632653061225,419.485215078209,582.617397631174,162.147437983016,-0.984744569949612,731
12,557.142857142857,419.485215078209,575.149238692342,137.657642064648,-18.006381549485,732
12,597.966101694915,419.485215078209,624.741525423729,178.480886616706,-26.7754237288136,733
12,561.724137931035,419.485215078209,605.109892645114,142.238922852826,-43.3857547140791,734
12,627.169811320755,419.485215078209,649.293913964029,207.684596242546,-22.1241026432739,735
12,589.655172413793,419.485215078209,604.974137931034,170.169957335584,-15.3189655172413,736
18,70,326.159716485665,72.8571428571429,-256.159716485665,-2.85714285714286,721
18,67.5,326.159716485665,65.25,-258.659716485665,2.25,722
18,60,326.159716485665,62.1428571428571,-266.159716485665,-2.14285714285714,723
18,60,326.159716485665,60,-266.159716485665,0,724
18,60,326.159716485665,60,-266.159716485665,0,752
18,60,326.159716485665,68.974358974359,-266.159716485665,-8.97435897435898,725
18,118.235294117647,326.159716485665,153.517156862745,-207.924422368017,-35.2818627450981,726
18,279.642857142857,326.159716485665,340.357535438418,-46.5168593428073,-60.7146782955607,727
18,388.888888888889,326.159716485665,439.610936955765,62.7291724032244,-50.7220480668756,728
18,298.695652173913,326.159716485665,327.039660503565,-27.4640643117514,-28.3440083296523,729
18,294.666666666667,326.159716485665,333.558503401361,-31.4930498189978,-38.8918367346939,730
18,483.076923076923,326.159716485665,436.592760180996,156.917206591259,46.4841628959276,731
18,561.818181818182,326.159716485665,461.943140892721,235.658465332517,99.8750409254611,732
18,448.888888888889,326.159716485665,456.731656184486,122.729172403224,-7.84276729559747,733
18,553.75,326.159716485665,557.067502073398,227.590283514336,-3.31750207339826,734
18,629.36170212766,326.159716485665,640.259381575871,303.201985641995,-10.8976794482114,735
18,622.758620689655,326.159716485665,779.555683880548,296.598904203991,-156.797063190893,736
24,113.181818181818,354.725313373827,115.4328421891,-241.543495192008,-2.25102400728183,721
24,87.2727272727273,354.725313373827,82.1185064935065,-267.452586101099,5.15422077922078,722
24,66.6666666666667,354.725313373827,75,-288.05864670716,-8.33333333333333,723
24,68.5714285714286,354.725313373827,66.3681318681319,-286.153884802398,2.2032967032967,724
24,69,354.725313373827,65.7794117647059,-285.725313373827,3.22058823529412,752
24,86.8965517241379,354.725313373827,81.9384236453202,-267.828761649689,4.95812807881774,725
24,207.857142857143,354.725313373827,199.846422445479,-146.868170516684,8.01072041166381,726
24,357.966101694915,354.725313373827,378.370835768556,3.24078832108864,-20.4047340736411,727
24,385.423728813559,354.725313373827,447.321141837645,30.6984154397327,-61.8974130240857,728
24,497.142857142857,354.725313373827,452.661357510414,142.417543769031,44.481499632443,729
24,641.538461538462,354.725313373827,485.638606676343,286.813148164635,155.899854862119,730
24,598.461538461539,354.725313373827,518.868137792127,243.736225087712,79.5934006694115,731
24,525.957446808511,354.725313373827,497.829180706653,171.232133434684,28.1282661018581,732
24,462.105263157895,354.725313373827,485.089447102605,107.379949784068,-22.9841839447103,733
24,542.448979591837,354.725313373827,553.533758587844,187.72366621801,-11.0847789960076,734
24,540,354.725313373827,562.464896214896,185.274686626173,-22.4648962148962,735
24,525.51724137931,354.725313373827,641.995866102037,170.791928005484,-116.478624722726,736
30,75.7894736842105,262.440345882538,70.1973684210526,-186.650872198327,5.59210526315789,721
30,60,262.440345882538,61.25,-202.440345882538,-1.25,722
30,60,262.440345882538,60,-202.440345882538,0,723
30,60,262.440345882538,63.75,-202.440345882538,-3.75,724
