roadID,probabilityOfOccurrence,operatorActionStatus,sourceName,date,hour
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,03
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,04
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,05
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,06
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,07
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,08
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,09
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,10
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,11
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,12
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,13
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,14
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,15
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,16
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,17
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,18
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,19
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,20
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,21
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,22
16,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,23
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,00
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,01
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,02
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,03
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,04
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,05
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,06
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,07
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,08
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,09
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,10
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,11
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,12
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,13
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,14
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,15
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,16
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,17
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,18
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,19
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,20
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,21
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,22
14,certain,approved,WNN-Z [RWS West-Nederland Noord District Zuid],2016-07-17,23
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,00
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,01
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,02
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,03
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,04
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,05
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,06
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,07
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,08
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,09
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,10
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,11
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,12
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,13
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,14
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,15
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,16
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,17
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,18
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,19
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,20
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,21
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,22
19,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,23
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,00
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,01
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,02
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,03
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,04
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,05
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,06
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,07
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,08
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,09
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,10
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,11
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,12
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,13
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,14
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,15
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,16
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,17
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,18
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,19
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,20
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,21
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,22
20,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,23
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,00
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,01
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,02
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,03
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,04
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,05
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,06
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,07
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,08
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,09
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,10
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,11
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,12
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,13
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,14
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,15
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,16
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,17
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,18
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,19
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,20
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,21
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,22
21,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,23
22,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,00
22,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,01
22,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,02
22,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,03
22,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,04
22,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,05
22,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,06
22,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,07
22,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,08
22,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,09
22,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,10
22,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,11
22,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,12
22,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,13
22,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,14
22,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,15
22,certain,approved,WNN-N [RWS West-Nederland Noord District Noord],2016-07-17,16
