speedID,date,avg_speed,week_day,ref_speedID_dayWeek,ref_speedID_dayWeek_hourDay,dif_speedID_dayWeek,dif_speedID_dayWeek_hourDay
6,2016-07-18-00,83.5454545454546,Monday,73.6370707012278,82.0064935064935,9.90838384422673,1.53896103896103
6,2016-07-18-01,77,Monday,73.6370707012278,80.8095238095238,3.36292929877219,-3.80952380952381
6,2016-07-18-02,88,Monday,73.6370707012278,78.6111111111111,14.3629292987722,9.38888888888889
6,2016-07-18-03,55,Monday,73.6370707012278,75.7333333333333,-18.6370707012278,-20.7333333333333
6,2016-07-18-05,80.6875,Monday,73.6370707012278,82.6254329004329,7.05042929877219,-1.9379329004329
6,2016-07-18-06,80.8809523809524,Monday,73.6370707012278,81.6790797947213,7.24388167972457,-0.798127413768896
6,2016-07-18-07,74.9166666666667,Monday,73.6370707012278,69.1871601124377,1.27959596543886,5.72950655422895
6,2016-07-18-08,64.2166666666667,Monday,73.6370707012278,55.8682363418775,-9.42040403456114,8.34843032478918
6,2016-07-18-09,62.4716981132076,Monday,73.6370707012278,68.2001538063259,-11.1653725880203,-5.72845569311831
6,2016-07-18-10,62.5,Monday,73.6370707012278,65.0816403312644,-11.1370707012278,-2.5816403312644
6,2016-07-18-11,70.4761904761905,Monday,73.6370707012278,66.6838930437414,-3.16088022503733,3.79229743244909
12,2016-07-18-00,76,Monday,68.9387002061018,76.5708326229042,7.06129979389816,-0.570832622904234
12,2016-07-18-01,79.8823529411765,Monday,68.9387002061018,78.0578189201632,10.9436527350746,1.82453402101329
12,2016-07-18-02,77.5357142857143,Monday,68.9387002061018,79.4826964996525,8.59701407961245,-1.9469822139382
12,2016-07-18-03,82.5714285714286,Monday,68.9387002061018,80.6218105021636,13.6327283653267,1.94961806926501
12,2016-07-18-04,78.9444444444445,Monday,68.9387002061018,79.9172544017607,10.0057442383426,-0.972809957316258
12,2016-07-18-05,79.3214285714286,Monday,68.9387002061018,78.3892744365651,10.3827283653267,0.932154134863495
12,2016-07-18-06,75.9833333333333,Monday,68.9387002061018,74.0493946731235,7.04463312723149,1.93393866020985
12,2016-07-18-07,68.1666666666667,Monday,68.9387002061018,64.4694511702986,-0.772033539435171,3.69721549636805
12,2016-07-18-08,63.45,Monday,68.9387002061018,55.4665177701706,-5.48870020610184,7.9834822298294
12,2016-07-18-09,57.7962962962963,Monday,68.9387002061018,62.5055939657573,-11.1424039098055,-4.70929766946101
12,2016-07-18-10,56.948275862069,Monday,68.9387002061018,59.3476662123538,-11.9904243440329,-2.39939035028483
12,2016-07-18-11,64.5454545454546,Monday,68.9387002061018,61.0714659517228,-4.3932456606473,3.47398859373175
18,2016-07-18-00,81.9565217391305,Monday,76.7815813013973,85.8180146640596,5.17494043773311,-3.86149292492917
18,2016-07-18-01,86.5714285714286,Monday,76.7815813013973,89.473840445269,9.78984727003125,-2.90241187384045
18,2016-07-18-02,108.2,Monday,76.7815813013973,87.2416666666667,31.4184186986027,20.9583333333333
18,2016-07-18-03,84.7142857142857,Monday,76.7815813013973,88.8758503401361,7.93270441288838,-4.16156462585035
18,2016-07-18-04,89.5,Monday,76.7815813013973,89.5095238095238,12.7184186986027,-0.00952380952381304
18,2016-07-18-05,83.4,Monday,76.7815813013973,86.5214028035457,6.61841869860268,-3.12140280354566
18,2016-07-18-06,83.4242424242424,Monday,76.7815813013973,82.8261711502783,6.6426611228451,0.598071273964123
18,2016-07-18-07,79.4,Monday,76.7815813013973,78.5639639351071,2.61841869860268,0.836036064892895
18,2016-07-18-08,76.4074074074074,Monday,76.7815813013973,75.0609233894855,-0.374173893989919,1.34648401792188
18,2016-07-18-09,72.4222222222222,Monday,76.7815813013973,75.3588639782404,-4.35935907917511,-2.93664175601819
18,2016-07-18-10,72.7560975609756,Monday,76.7815813013973,74.1967928074929,-4.02548374042172,-1.44069524651732
18,2016-07-18-11,73.7727272727273,Monday,76.7815813013973,74.2052421488076,-3.00885402867006,-0.432514876080305
24,2016-07-18-00,75.9767441860465,Monday,70.3629701310048,78.6610061796455,5.61377405504177,-2.68426199359897
24,2016-07-18-01,77.9047619047619,Monday,70.3629701310048,78.8768420854052,7.54179177375715,-0.972080180643317
24,2016-07-18-02,81.6666666666667,Monday,70.3629701310048,79.3885504201681,11.3036965356619,2.27811624649861
24,2016-07-18-03,75.5714285714286,Monday,70.3629701310048,78.6422095761381,5.20845844042383,-3.07078100470957
24,2016-07-18-04,76.1578947368421,Monday,70.3629701310048,78.8207556706893,5.79492460583737,-2.66286093384721
24,2016-07-18-05,82.6206896551724,Monday,70.3629701310048,79.9438631830059,12.2577195241677,2.67682647216652
24,2016-07-18-06,75.3518518518519,Monday,70.3629701310048,75.5561091958151,4.9888817208471,-0.204257343963235
24,2016-07-18-07,70.7627118644068,Monday,70.3629701310048,71.1981460916213,0.399741733402038,-0.435434227214529
24,2016-07-18-08,68.5344827586207,Monday,70.3629701310048,68.681425013021,-1.82848737238406,-0.146942254400301
24,2016-07-18-09,67.0833333333333,Monday,70.3629701310048,68.7873343673045,-3.27963679767142,-1.70400103397117
24,2016-07-18-10,65.6923076923077,Monday,70.3629701310048,67.9302592319734,-4.67066243869705,-2.2379515396657
24,2016-07-18-11,67.0454545454546,Monday,70.3629701310048,67.779845868918,-3.3175155855502,-0.734391323463456
30,2016-07-18-00,92.4,Monday,87.9868933881641,99.4635023706452,4.41310661183587,-7.06350237064522
30,2016-07-18-01,102.5,Monday,87.9868933881641,93.0319727891156,14.5131066118359,9.46802721088436
