flowID,std,avg_flow,ref_flowID_dayWeek,ref_flowID_dayWeek_hourDay,dif_flowID_dayWeek,dif_flowID_dayWeek_hourDay,dateID
1,75.636399909258,112.881355932203,291.850569083216,52.7468729022356,-178.969213151013,60.1344830299678,1441
1,61.3462414866454,101.142857142857,306.140727505829,24.1405629227853,-204.997870362972,77.0022942200719,1443
1,26.9865867065282,76,340.500382285946,48.7184615658825,-264.500382285946,27.2815384341175,1445
1,28.5356919363403,70.7142857142857,338.951277056134,43.2046610286671,-268.236991341848,27.5096246856186,1447
1,55.9395277887718,93,311.547441203703,40.194106878364,-218.547441203703,52.805893121636,1449
1,104.211576505624,162.352941176471,263.27539248685,41.4155664446729,-100.92245131038,120.937374731798,1451
1,170.631345830053,275.333333333333,196.855623162421,92.4886248855055,78.4777101709124,182.844708447828,1453
1,221.998279286725,573.27731092437,145.488689705749,348.676227804247,427.788621218621,224.601083120123,1455
1,390.40993323222,775.5,-22.9229642397457,386.112702940893,798.422964239746,389.387297059107,1457
1,266.187149305894,563.571428571429,101.29981968658,264.592954021668,462.271608884849,298.97847454976,1459
1,253.653141053657,537.5,113.833827938817,274.822087103902,423.666172061183,262.677912896098,1461
1,338.358151271859,565.321100917431,29.1288177206156,192.938260713142,536.192283196816,372.38284020429,1463
1,313.400746562562,576.842105263158,54.0862224299126,246.977418158324,522.755882833245,329.864687104834,1465
1,302.891611530977,566.896551724138,64.5953574614977,230.679551355007,502.30119426264,336.217000369131,1467
1,305.952064410643,563.193277310924,61.5349045818313,241.569657683421,501.658372729093,321.623619627503,1469
1,298.225415029196,633.391304347826,69.2615539632781,299.549636625659,564.129750384548,333.841667722167,1471
1,309.818120684555,558.461538461538,57.6688483079196,242.622809238574,500.792690153619,315.838729222964,1473
1,301.781438483669,522.260869565217,65.7055305088057,210.66379602712,456.555339056412,311.597073538097,1475
1,261.54141629187,434.736842105263,105.945552700605,153.967623021796,328.791289404659,280.769219083467,1477
1,188.580531398206,330,178.906437594268,141.319179718333,151.093562405732,188.680820281667,1479
1,164.160200501131,253.714285714286,203.326768491344,103.380394663738,50.3875172229421,150.333891050548,1481
1,145.404521650422,232.173913043478,222.082447342053,100.353651715508,10.0914657014256,131.82026132797,1483
1,133.110492132933,226.329113924051,234.376476859542,107.692473626959,-8.04736293549127,118.636640297092,1485
1,129.207859073645,196.363636363636,238.279109918829,82.8915327095965,-41.9154735551927,113.47210365404,1487
2,56.9706907414185,101.298701298701,314.874901383926,54.2314723372517,-213.576200085225,47.0672289614496,1441
2,48.672705473032,89.0322580645161,323.172886652313,34.1612237034846,-234.140628587797,54.8710343610315,1443
2,11.3389341902768,62.1428571428572,360.506657935068,62.5515011171827,-298.363800792211,-0.408643974325578,1445
2,20.4939015319192,67.5,351.351690593426,42.8316086721624,-283.851690593426,24.6683913278376,1447
2,0,60,371.845592125345,62.4687461606716,-311.845592125345,-2.46874616067163,1449
2,25.2941874423225,73.4693877551021,346.551404683022,55.4154158795257,-273.08201692792,18.0539718755764,1451
2,135.122630168531,203.855421686747,236.722961956814,46.5364489074495,-32.8675402700672,157.318972779298,1453
2,211.831457464847,344.070796460177,160.014134660497,148.778402748437,184.05666179968,195.29239371174,1455
2,290.436111755136,489.391304347826,81.4094803702091,185.232638506103,407.981823977617,304.158665841723,1457
2,261.898521529837,433.584905660377,109.947070595507,158.191999294925,323.63783506487,275.392906365453,1459
2,198.960226238095,402.782608695652,172.88536588725,254.525077413018,229.897242808403,148.257531282634,1461
2,318.946800980462,558.556701030928,52.8987911448833,235.322896305478,505.657909886045,323.23380472545,1463
2,305.718034279165,567.428571428571,66.1275578461802,268.453977003952,501.301013582391,298.974594424619,1465
2,302.437491547322,552.321428571429,69.4081005780231,273.337831753684,482.913327993405,278.983596817744,1467
2,337.609567074483,697.142857142857,34.2360250508618,288.821030118164,662.906832091995,408.321827024693,1469
2,388.974208115962,670.093457943925,-17.1286159906168,280.663648148021,687.222073934542,389.429809795904,1471
2,393.719676899242,708.421052631579,-21.8740847738969,326.562434889659,730.295137405476,381.85861774192,1473
2,409.620853592049,823,-37.7752614667044,384.314768496834,860.775261466705,438.685231503166,1475
2,411.53104155718,685.871559633028,-39.6854494318355,220.576615141426,725.557009064863,465.294944491602,1477
2,261.599408952937,410.091743119266,110.246183172408,164.355326514201,299.845559946858,245.736416605065,1479
2,154.004529017764,309.5,217.841063107581,170.073399119126,91.6589368924189,139.426600880874,1481
2,141.994328691434,275.575221238938,229.851263433911,134.833341180484,45.7239578050273,140.741880058454,1483
2,111.125753850101,188.971962616822,260.719838275243,94.934668487183,-71.747875658421,94.0372941296395,1485
2,109.559557790714,177.142857142857,262.286034334631,69.2591202256226,-85.143177191774,107.883736917235,1487
3,77.0777763467355,109.180327868852,256.769115905563,46.5887385703587,-147.588788036711,62.5915892984938,1441
3,61.3462414866454,101.142857142857,272.500650765653,20.8574821080557,-171.357793622796,80.2853750348015,1443
3,23.5004835540192,70.9090909090909,310.34640869828,50.5386981137339,-239.437317789189,20.370392795357,1445
3,29.9205296617238,72.8571428571429,303.926362590575,40.8584140531347,-231.069219733432,31.9987288040081,1447
3,49.335667596233,92.3076923076923,284.511224656066,39.8273098393696,-192.203532348374,52.4803824683227,1449
3,90.5966140585466,147.5,243.250278193752,45.0463904993283,-95.7502781937522,102.453609500672,1451
3,163.61231007346,247.959183673469,170.234582178838,85.9767227456527,77.724601494631,161.982460927817,1453
3,256.510080287998,542.068965517241,77.3368119643006,282.614850357198,464.732153552941,259.454115160044,1455
