flowID,std,avg_flow,dif_flowID_dayWeek,dif_flowID_dayWeek_hourDay,sig_dif_flowID_dayWeek,sig_dif_flowID_dayWeek_hourDay,dateID
1,85.4431501929419,131.25,235.502812674944,-26.6702788932285,150.059662482003,-112.11342908617,1009
1,40.1280003271582,77.7777777777778,288.975034897167,5.66326530612245,248.847034570009,-34.4647350210358,1011
1,27.4617952368096,67.8260869565217,298.926725718423,5.24874161558677,271.464930481613,-22.2130536212228,1013
1,45.2267016866645,92.7272727272727,274.025539947672,-10.0506057089908,228.798838261007,-55.2773073956553,1015
1,58.42162930783,96.3157894736842,270.43702320126,-8.65312707925052,212.01539389343,-67.0747563870806,1017
1,84.7490080543554,154.166666666667,212.586146008278,-2.68949410750216,127.837137953922,-87.4385021618575,1019
1,176.271122389627,285.576923076923,81.1758895980213,4.50504207181439,-95.0952327916057,-171.766080317813,1021
1,408.386238726734,676.842105263158,-310.089292588214,-8.0376467803892,-718.475531314948,-416.423885507124,1023
1,332.337405749796,766.5,-399.747187325056,44.5666266506603,-732.084593074851,-287.770779099135,1025
1,296.830485655901,524.736842105263,-157.984029430319,19.2455276121339,-454.81451508622,-277.584958043768,1027
1,301.761419391892,493.04347826087,-126.290665585925,14.0298932799398,-428.052084977818,-287.731526111953,1029
1,271.201749655157,439.304347826087,-72.5515351511425,59.2767858627812,-343.753284806299,-211.924963792375,1031
1,338.497308902976,535.596330275229,-168.843517600285,17.2696330434756,-507.340826503261,-321.2276758595,1033
1,276.918434974357,481.538461538462,-114.785648863517,48.964038483171,-391.704083837874,-227.954396491186,1035
1,317.648856059593,509.74358974359,-142.990777068645,49.5944540176771,-460.639633128238,-268.054402041916,1037
1,302.620598816624,556.315789473684,-189.56297679874,-0.308273997768197,-492.183575615364,-302.928872814392,1039
1,359.919899555595,615.652173913044,-248.899361238099,-34.5122221458216,-608.819260793695,-394.432121701417,1041
1,295.822262196088,502.5,-135.747187325056,11.1268388362209,-431.569449521143,-284.695423359867,1043
1,179.775515973272,331.052631578947,35.7001810959971,40.0226640313441,-144.075334877274,-139.752851941927,1045
1,163.113767710505,304.485981308411,62.2668313665332,4.16289265174572,-100.846936343972,-158.950875058759,1047
1,161.923052140181,275.533980582524,91.2188320924201,3.01345299685926,-70.7042200477609,-158.909599143322,1049
1,137.567228176049,228.865979381443,137.886833293501,17.1438793687171,0.319605117451744,-120.423348807332,1051
1,153.917309076644,238.181818181818,128.570994493126,-3.41084318649388,-25.3463145835178,-157.328152263138,1053
1,107.880613006991,173.515151515152,193.237661159793,-6.48291735666598,85.3570481528016,-114.363530363657,1055
2,77.113933270541,124.615384615385,240.520850905546,-28.2347186943051,163.406917635005,-105.348651964846,1009
2,51.1842938094599,89.1428571428572,275.993378378073,-13.3145743145743,224.809084568613,-64.4988681240342,1011
2,42.0204032074216,74.2857142857143,290.850521235216,-3.52918009308988,248.830118027794,-45.5495833005115,1013
2,33.717089216941,75.7894736842105,289.34676183672,-6.98481497862302,255.629672619779,-40.701904195564,1015
2,36.3803437554499,81.1764705882353,283.959764932695,-12.5976495861502,247.579421177245,-48.9779933416002,1017
2,36.1813613493316,80,285.13623552093,1.27374201997638,248.954874171599,-34.9076193293553,1019
2,129.05791819412,178.105263157895,187.030972363036,10.4905943571108,57.9730541689153,-118.567323837009,1021
2,305.463929126943,373.529411764706,-8.3931762437756,-10.5644699077471,-313.857105370719,-316.028399034691,1023
2,273.439949194377,498.58407079646,-133.44783527553,-6.31006610910924,-406.887784469907,-279.750015303486,1025
2,273.630032151832,412.293577981651,-47.1573424607211,14.9945814117291,-320.787374612554,-258.635450740103,1027
2,247.226581906119,438.378378378378,-73.2421428574481,32.2267087538379,-320.468724763567,-214.999873152281,1029
2,322.521378522355,501.980198019802,-136.843962498872,21.3836820863564,-459.365341021227,-301.137696435999,1031
2,335.141172139679,569.375,-204.23876447907,-11.43219912779,-539.379936618749,-346.573371267469,1033
2,358.262142185287,548.484848484849,-183.348612963918,9.13085249060259,-541.610755149206,-349.131289694685,1035
2,346.993545883091,528.648648648649,-163.512413127718,48.2671446957162,-510.50595901081,-298.726401187375,1037
2,349.286902347696,588.785046728972,-223.648811208042,29.0389146926108,-572.935713555738,-320.247987655085,1039
2,398.721790649905,691.351351351351,-326.215115830421,29.9869117970663,-724.936906480326,-368.734878852838,1041
2,429.049575321475,777.297297297297,-412.161061776367,54.1844535307863,-841.210637097842,-374.865121790689,1043
2,292.493912886457,570.5,-205.36376447907,96.9536326979652,-497.857677365527,-195.540280188492,1045
2,190.304771689442,378.305084745763,-13.1688492248325,40.6686767538612,-203.473620914274,-149.636094935581,1047
2,234.382779930621,317.884615384615,47.2516201363149,-19.4111625352455,-187.131159794306,-253.793942465867,1049
2,130.50007056721,235.922330097087,129.213905423843,-0.929811677633438,-1.2861651433673,-131.429882244844,1051
2,126.181348210802,200.769230769231,164.3670047517,2.83815928411238,38.1856565408971,-123.34318892669,1053
2,83.1678593310607,151.904761904762,213.231473616168,-1.96877087300769,130.063614285108,-85.1366302040684,1055
3,70.7551362671015,115.555555555556,219.50762076879,-17.9039860959773,148.752484501689,-88.6591223630788,1009
3,33.2820117735137,80,255.063176324346,-0.379129642287538,221.781164550832,-33.6611414158013,1011
3,24.6234804500437,72,263.063176324346,4.19318073231116,238.439695874302,-20.4302997177325,1013
3,32.3530939644979,80.5714285714286,254.491747752917,-2.08342396519737,222.138653788419,-34.4365179296953,1015
3,45.03844511594,88.5,246.563176324346,-1.31675864538192,201.524731208406,-46.3552037613219,1017
